clock_time	DMS2537	DMS2545	DMS2709	DMS2797	DMS2843	DMS2862	DMS2868	DMS3189
10:19	NA	NA	0.27	NA	NA	0.24	NA	NA
10:32	0.3	0.29	NA	0.28	NA	NA	NA	0.3
10:42	NA	NA	NA	NA	0.29	NA	0.29	NA
10:51	0.35	0.3	0.32	0.31	0.31	0.28	0.32	0.32
11:20	0.34	0.3	0.3	0.3	0.3	0.27	0.32	0.29
11:49	0.34	0.29	0.3	0.29	0.3	0.28	0.32	0.29
12:16	0.35	0.3	0.31	0.3	0.3	0.28	0.32	0.3
12:43	0.36	0.31	0.34	0.3	0.32	0.29	0.34	0.32
13:15	0.39	0.33	0.38	0.32	0.34	0.3	0.34	0.36
13:47	0.41	0.36	0.44	0.34	0.37	0.3	0.36	0.41
14:17	0.43	0.39	0.49	0.37	0.42	0.32	0.38	0.48
14:46	0.47	0.41	0.54	0.4	0.48	0.34	0.4	0.52
15:14	0.49	0.44	0.61	0.42	0.54	0.35	0.43	0.57
16:01	0.55	0.5	0.71	0.49	0.65	0.41	0.47	0.66	
