locus_family	E. cloacae	K. pneumoniae	S. marcescens	C. rodentium	E. coli	S. enterica	num_genomes
5	ECL_RS23060	KPNIH1_RS24570	SMDB11_RS18005	ROD_RS22605	b3241	STM14_RS17885	6
6	ECL_RS11385	KPNIH1_RS15100	SMDB11_RS07385	ROD_RS07110	b1644	STM14_RS08065	6
8	ECL_RS20065	KPNIH1_RS21035	SMDB11_RS15505	ROD_RS15410	b2685	STM14_RS15105	6
12	ECL_RS17285	KPNIH1_RS18530	SMDB11_RS12705	ROD_RS11430	b2176	STM14_RS12280	6
13	ECL_RS07315	KPNIH1_RS16970	SMDB11_RS10315	ROD_RS09175	b1815	STM14_RS10030	6
60	ECL_RS12435	KPNIH1_RS10215	SMDB11_RS05835	ROD_RS05835	b1101	STM14_RS06520	6
61	ECL_RS14920	KPNIH1_RS07975	SMDB11_RS02375	ROD_RS03440	b0679	STM14_RS04035	6
106	ECL_RS20760	KPNIH1_RS22185	SMDB11_RS16020	ROD_RS14250	b2837	STM14_RS16105	6
107	ECL_RS17125	KPNIH1_RS18420	SMDB11_RS04150	ROD_RS11290	b2151	STM14_RS12160	6
135	ECL_RS24860	KPNIH1_RS00770	SMDB11_RS21265	ROD_RS19570	b3795	STM14_RS20715	6
137	ECL_RS05635	KPNIH1_RS05680	SMDB11_RS01530	ROD_RS02245	b0402	STM14_RS02620	6
158	ECL_RS24650	KPNIH1_RS01005	SMDB11_RS21680	ROD_RS19355	b3845	STM14_RS20965	6
167	ECL_RS11580	KPNIH1_RS15885	SMDB11_RS07240	ROD_RS06845	b1678	STM14_RS07730	6
168	ECL_RS08630	KPNIH1_RS11225	SMDB11_RS09400	ROD_RS08520	b1284	STM14_RS09420	6
185	ECL_RS08055	KPNIH1_RS16210	SMDB11_RS09725	ROD_RS08725	b1246	STM14_RS09615	6
189	ECL_RS01115	KPNIH1_RS25965	SMDB11_RS21105	ROD_RS21030	b3541	STM14_RS19200	6
194	ECL_RS20625	KPNIH1_RS21810	SMDB11_RS15850	ROD_RS14100	b2809	STM14_RS15955	6
196	ECL_RS20740	KPNIH1_RS22160	SMDB11_RS15975	ROD_RS14230	b2833	STM14_RS16085	6
202	ECL_RS18120	KPNIH1_RS18955	SMDB11_RS13440	ROD_RS13380	b2302	STM14_RS12960	6
203	ECL_RS14130	KPNIH1_RS08850	SMDB11_RS04485	ROD_RS04290	b0838	STM14_RS04950	6
207	ECL_RS01430	KPNIH1_RS01440	SMDB11_RS18470	ROD_RS18270	b4035	STM14_RS22215	6
211	ECL_RS23970	KPNIH1_RS25510	SMDB11_RS21560	ROD_RS21590	b3450	STM14_RS18825	6
237	ECL_RS14150	KPNIH1_RS08825	SMDB11_RS04105	ROD_RS04255	b0832	STM14_RS04890	6
239	ECL_RS17115	KPNIH1_RS18410	SMDB11_RS04160	ROD_RS11280	b2149	STM14_RS12150	6
244	ECL_RS25600	KPNIH1_RS00040	SMDB11_RS20435	ROD_RS19795	b3749	STM14_RS20490	6
259	ECL_RS06010	KPNIH1_RS06200	SMDB11_RS01850	ROD_RS02605	b0462	STM14_RS02990	6
286	ECL_RS01105	KPNIH1_RS25975	SMDB11_RS21095	ROD_RS21020	b3543	STM14_RS19210	6
288	ECL_RS14155	KPNIH1_RS08820	SMDB11_RS04100	ROD_RS04250	b0831	STM14_RS04885	6
338	ECL_RS07340	KPNIH1_RS16940	SMDB11_RS10055	ROD_RS09150	b1809	STM14_RS10005	6
341	ECL_RS03190	KPNIH1_RS02715	SMDB11_RS22995	ROD_RS16355	b4243	STM14_RS23370	6
342	ECL_RS15335	KPNIH1_RS07490	SMDB11_RS13985	ROD_RS02995	b0588	STM14_RS03555	6
347	ECL_RS04615	KPNIH1_RS04725	SMDB11_RS16835	ROD_RS00785	b0151	STM14_RS01545	6
354	ECL_RS06735	KPNIH1_RS17420	SMDB11_RS10780	ROD_RS09770	b1917	STM14_RS10665	6
355	ECL_RS13785	KPNIH1_RS09230	SMDB11_RS04710	ROD_RS04430	b0864	STM14_RS05090	6
408	ECL_RS11755	KPNIH1_RS15825	SMDB11_RS07065	ROD_RS06705	b1711	STM14_RS07560	6
410	ECL_RS01120	KPNIH1_RS25960	SMDB11_RS21110	ROD_RS21035	b3540	STM14_RS19195	6
411	ECL_RS08060	KPNIH1_RS16205	SMDB11_RS09720	ROD_RS08720	b1247	STM14_RS09610	6
419	ECL_RS15090	KPNIH1_RS07790	SMDB11_RS02195	ROD_RS03260	b0632	STM14_RS03790	6
433	ECL_RS23990	KPNIH1_RS25540	SMDB11_RS21535	ROD_RS21560	b3454	STM14_RS18855	6
441	ECL_RS14330	KPNIH1_RS08645	SMDB11_RS03315	ROD_RS04095	b0802	STM14_RS04750	6
444	ECL_RS04225	KPNIH1_RS04250	SMDB11_RS00295	ROD_RS00430	b0077	STM14_RS01160	6
455	ECL_RS17410	KPNIH1_RS18665	SMDB11_RS13135	ROD_RS11630	b2215	STM14_RS12550	6
475	ECL_RS19610	KPNIH1_RS20435	SMDB11_RS00870	ROD_RS12625	b2601	STM14_RS14595	6
477	ECL_RS14625	KPNIH1_RS08295	SMDB11_RS02685	ROD_RS03775	b0754	STM14_RS04425	6
478	ECL_RS22430	KPNIH1_RS23960	SMDB11_RS17675	ROD_RS23640	b3098	STM14_RS17220	6
480	ECL_RS20015	KPNIH1_RS20960	SMDB11_RS15380	ROD_RS15460	b2672	STM14_RS15040	6
482	ECL_RS23800	KPNIH1_RS25325	SMDB11_RS19190	ROD_RS21785	b3405	STM14_RS18575	6
484	ECL_RS25255	KPNIH1_RS00380	SMDB11_RS20035	ROD_RS18965	b3912	STM14_RS21365	6
486	ECL_RS13840	KPNIH1_RS09175	SMDB11_RS04665	ROD_RS04370	b0855	STM14_RS05030	6
511	ECL_RS14315	KPNIH1_RS08675	SMDB11_RS03775	ROD_RS04120	b0809	STM14_RS04775	6
512	ECL_RS15030	KPNIH1_RS07865	SMDB11_RS02260	ROD_RS03330	b0652	STM14_RS03920	6
518	ECL_RS25595	KPNIH1_RS00045	SMDB11_RS20430	ROD_RS19790	b3750	STM14_RS20495	6
523	ECL_RS11270	KPNIH1_RS14985	SMDB11_RS07540	ROD_RS07215	b1624	STM14_RS08170	6
555	ECL_RS05725	KPNIH1_RS05830	SMDB11_RS01625	ROD_RS02350	b0419	STM14_RS02725	6
