locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
b0002	thrA	233.08881265955728	0.4009351544346134	0.9846194768966912	FALSE	E_coli_K12	2524	NP_414543.1	thrA - fused aspartate kinase/homoserine dehydrogenase 1	336	2799	+
b0003	thrB	72.83923991506755	0.26141373998007783	0.9957488757557238	FALSE	E_coli_K12	3104	NP_414544.1	thrB - homoserine kinase	2800	3733	+
b0004	thrC	223.40450340392303	0.08766298137798734	0.9982978916425622	FALSE	E_coli_K12	3105	NP_414545.1	thrC - threonine synthase	3733	5020	+
b0006	yaaA	118.53437832315949	0.01569192771758334	0.9982978916425622	FALSE	E_coli_K12	3106	NP_414547.1	yaaA - peroxide stress resistance protein YaaA	5682	6459	-
b0007	yaaJ	49.88071102314014	0.6125026833427364	0.9345698267452359	FALSE	E_coli_K12	2076	NP_414548.1	yaaJ - putative transporter YaaJ	6528	7959	-
b0008	talB	2413.4900711666937	0.04440536492990812	0.9982978916425622	FALSE	E_coli_K12	976	NP_414549.1	talB - transaldolase B	8237	9191	+
b0009	mog	364.0671769627812	-0.17370492960612158	0.9846194768966912	FALSE	E_coli_K12	2658	NP_414550.1	mog - molybdopterin adenylyltransferase	9305	9893	+
b0010	satP	86.38064302701108	0.14565819917389003	0.9982978916425622	FALSE	E_coli_K12	3107	NP_414551.1	satP - acetate/succinate:H(+) symporter	9927	10494	-
b0011	yaaW	14.263807492480497	0.3004994337310043	0.9957488757557238	FALSE	E_coli_K12	6940	NP_414552.1	yaaW - putative enzyme-specific chaperone YaaW	10642	11356	-
b0013	yaaI	2.1838868415093713	-4.134449075808913	0.6855598632052953	FALSE	E_coli_K12	6941	NP_414554.1	yaaI - DUF2541 domain-containing protein YaaI	11381	11786	-
b0014	dnaK	2506.5273106497875	0.49513447065634086	0.9846194768966912	FALSE	E_coli_K12	2390	NP_414555.1	dnaK - chaperone protein DnaK	12162	14079	+
b0015	dnaJ	438.31492304911137	0.23350004515906667	0.9957488757557238	FALSE	E_coli_K12	2835	NP_414556.1	dnaJ - chaperone protein DnaJ	14167	15298	+
b0019	nhaA	528.1377509525325	0.09108605165755461	0.9982978916425622	FALSE	E_coli_K12	2980	NP_414560.1	nhaA - Na(+):H(+) antiporter NhaA	17488	18655	+
b0020	nhaR	204.92293269337333	0.20514425954687837	0.9846194768966912	FALSE	E_coli_K12	4433	NP_414561.1	nhaR - DNA-binding transcriptional activator NhaR	18714	19620	+
b0023	rpsT	14624.734294131338	-0.30024422143534485	0.9846194768966912	FALSE	E_coli_K12	3108	NP_414564.1	rpsT - 30S ribosomal subunit protein S20	20814	21078	-
b0024	yaaY	3.630205355805561	0.7922797695803001	0.992453913732036	FALSE	E_coli_K12	7099	NP_414565.1	yaaY - DUF2575 domain-containing protein YaaY	21180	21399	+
b0025	ribF	324.22247925550414	0.020858997314168716	0.9982978916425622	FALSE	E_coli_K12	3109	NP_414566.1	ribF - bifunctional riboflavin kinase/FMN adenylyltransferase	21406	22348	+
b0026	ileS	902.6767620536772	0.4208885435945933	0.9086098043670261	FALSE	E_coli_K12	2527	NP_414567.1	ileS - isoleucine--tRNA ligase	22390	25207	+
b0027	lspA	281.38750338570384	0.21537037773175755	0.9846194768966912	FALSE	E_coli_K12	2981	NP_414568.1	lspA - lipoprotein signal peptidase	25206	25701	+
b0028	fkpB	121.07886719646646	0.30498522387302274	0.9846194768966912	FALSE	E_coli_K12	2660	NP_414569.1	fkpB - peptidyl-prolyl cis-trans isomerase FkpB	25825	26275	+
b0029	ispH	204.6647126335612	0.29284439865571604	0.9846194768966912	FALSE	E_coli_K12	3110	NP_414570.1	ispH - 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	26276	27227	+
b0030	rihC	63.34703607800014	-0.26286156538213784	0.992453913732036	FALSE	E_coli_K12	1518	NP_414571.1	rihC - ribonucleoside hydrolase RihC	27292	28207	+
b0031	dapB	300.1850231417959	0.06911591596150558	0.9982978916425622	FALSE	E_coli_K12	3111	NP_414572.1	dapB - 4-hydroxy-tetrahydrodipicolinate reductase	28373	29195	+
b0032	carA	81.23420438172076	0.026078259011374366	0.9982978916425622	FALSE	E_coli_K12	3112	NP_414573.1	carA - carbamoyl phosphate synthetase subunit alpha	29650	30799	+
b0033	carB	58.661999111086175	0.5884986325197522	0.9086098043670261	FALSE	E_coli_K12	3113	NP_414574.1	carB - carbamoyl phosphate synthetase subunit beta	30816	34038	+
b0034	caiF	23.04816469468771	-0.6504116766896504	0.9345698267452359	FALSE	E_coli_K12	7100	NP_414576.4	caiF - DNA-binding transcriptional activator CaiF	34299	34695	+
b0035	caiE	29.695388511812588	-0.4910584931397506	0.9846194768966912	FALSE	E_coli_K12	2256	NP_414577.2	caiE - putative transferase CaiE	34780	35371	-
b0036	caiD	3.168986949556161	0.9361625626489372	0.9903938665094326	FALSE	E_coli_K12	6208	NP_414578.2	caiD - crotonobetainyl-CoA hydratase	35376	36162	-
b0037	caiC	18.223522534938287	0.05574167645717661	0.9982978916425622	FALSE	E_coli_K12	6089	NP_414579.4	caiC - carnitine--CoA ligase	36270	37824	-
b0038	caiB	12.558515139304653	-0.0663294564487511	0.9982978916425622	FALSE	E_coli_K12	6550	NP_414580.1	caiB - gamma-butyrobetainyl-CoA:carnitine CoA transferase	37897	39115	-
b0039	caiA	47.837711554293115	0.1947793031289577	0.9957488757557238	FALSE	E_coli_K12	4665	NP_414581.1	caiA - crotonobetainyl-CoA reductase	39243	40386	-
b0040	caiT	4.807421517839685	-1.5309702316968918	0.9345698267452359	FALSE	E_coli_K12	6296	NP_414582.1	caiT - L-carnitine:gamma-butyrobetaine antiporter	40416	41931	-
b0041	fixA	3.459679810905325	-1.5685487557851177	0.9846194768966912	FALSE	E_coli_K12	4900	NP_414583.2	fixA - putative electron transfer flavoprotein FixA	42402	43173	+
