# Lines not beginning with # have the following format: Gene name <tab> family origin <tab> gene history string <tab> locusIsland <tab> initialFamily <tab> originFamily <tab> locusFamily <tab> locFamMRCA <tab> gene description.
########### Begin contig
  10210_S_typhimurium_14028s-STM14_RS00570	X		12422	8077	12216	12422	S_typhimurium_14028s	thrL - thr operon leader peptide
  10211_S_typhimurium_14028s-STM14_RS00575	C	OSSSSS	2524	650	2419	2524	s0	thrA - bifunctional aspartate kinase/homoserine dehydrogenase I
  10212_S_typhimurium_14028s-STM14_RS00580	C	OSSSSS	3104	1116	2988	3104	s0	thrB - homoserine kinase
  10213_S_typhimurium_14028s-STM14_RS00585	C	OSSSDS	3105	1117	2989	3105	s0	thrC - threonine synthase
  10214_S_typhimurium_14028s-STM14_RS00590	C	OSSSSS	3106	1118	2990	3106	s0	yaaA - peroxide stress protein YaaA
  10215_S_typhimurium_14028s-STM14_RS00595	C	OSSSD	2076	365	1984	2076	s0	sodium:alanine symporter family protein
  10216_S_typhimurium_14028s-STM14_RS00600	C	OSSSDS	976	112	937	976	s0	tal - transaldolase
  10217_S_typhimurium_14028s-STM14_RS00605	C	OSSSDS	2658	768	2552	2658	s0	mog - molybdopterin adenylyltransferase
  10218_S_typhimurium_14028s-STM14_RS00610	C	OSSSSS	3107	1119	2991	3107	s0	satP - acetate uptake transporter
  10219_S_typhimurium_14028s-STM14_RS00615	C	OSS	6940	3536	6738	6940	s1	msyB - acidic protein MsyB
  10220_S_typhimurium_14028s-STM14_RS00620	C	OSS	6941	3537	6739	6941	s1	DUF2541 family protein
  10221_S_typhimurium_14028s-STM14_RS00625	C	OSDDS	2390	546	2290	2390	s0	dnaK - molecular chaperone DnaK
  10222_S_typhimurium_14028s-STM14_RS00630	C	OSSSD	2835	917	2725	2835	s0	dnaJ - molecular chaperone DnaJ
  10223_S_typhimurium_14028s-STM14_RS00635	X	OS	5919	4280	7989	8195	s3	LysR family transcriptional regulator
  10224_S_typhimurium_14028s-STM14_RS00640	X	OS	5919	4610	8586	8792	s3	phage holin family protein
  10225_S_typhimurium_14028s-STM14_RS00645	X	OS	5919	3025	5731	5919	s3	glycoside hydrolase family 108 protein
  10226_S_typhimurium_14028s-STM14_RS00650	X	OS	5919	3847	7270	7476	s3	transcriptional regulator
  10227_S_typhimurium_14028s-STM14_RS00655	X	OS	5919	3900	7355	7561	s3	glycosyl hydrolase family 18 protein
  10228_S_typhimurium_14028s-STM14_RS00660	X		120	8078	12217	12423	S_typhimurium_14028s	chitinase
  10229_S_typhimurium_14028s-STM14_RS00665	X		120	5388	9527	9733	S_typhimurium_14028s	winged helix-turn-helix transcriptional regulator
  10230_S_typhimurium_14028s-STM14_RS00670	X	O	120	50	488	505	S_typhimurium_14028s	fimbrial protein BcfA
  10231_S_typhimurium_14028s-STM14_RS00675	X	O	120	9	117	120	S_typhimurium_14028s	bcfB - fimbrial biogenesis chaperone BcfB
  10232_S_typhimurium_14028s-STM14_RS00680	X	O	120	28	326	332	S_typhimurium_14028s	bcfC - fimbrial usher BcfC
  10233_S_typhimurium_14028s-STM14_RS00685	X	OSSDR	120	2814	5277	5453	S_typhimurium_14028s	fimbrial protein BcfD
  10234_S_typhimurium_14028s-STM14_RS00690	X	O	120	50	487	504	S_typhimurium_14028s	fimbrial protein BcfE
  10235_S_typhimurium_14028s-STM14_RS00695	X	O	120	240	1513	1584	S_typhimurium_14028s	fimbrial protein BcfF
  10236_S_typhimurium_14028s-STM14_RS00700	X	O	120	9	121	124	S_typhimurium_14028s	bcfG - fimbrial chaperone BcfG
  10237_S_typhimurium_14028s-STM14_RS00705	X		120	5776	9915	10121	S_typhimurium_14028s	DsbA family protein
  10238_S_typhimurium_14028s-STM14_RS00710	X		120	8079	12218	12424	S_typhimurium_14028s	hypothetical protein
  10239_S_typhimurium_14028s-STM14_RS00715	X		120	5207	9346	9552	S_typhimurium_14028s	transcriptional regulator
  10240_S_typhimurium_14028s-STM14_RS00720	X		120	6519	10658	10864	S_typhimurium_14028s	LysR family transcriptional regulator
  10241_S_typhimurium_14028s-STM14_RS00725	X		120	5206	9345	9551	S_typhimurium_14028s	transcriptional regulator
  10242_S_typhimurium_14028s-STM14_RS00730	X	OD	120	4019	7548	7754	S_typhimurium_14028s	aryl-sulfate sulfotransferase
  10243_S_typhimurium_14028s-STM14_RS00735	X	O	120	3213	6069	6263	S_typhimurium_14028s	bifunctional metallophosphatase/5'-nucleotidase
  10244_S_typhimurium_14028s-STM14_RS00740	X		120	6439	10578	10784	S_typhimurium_14028s	hypothetical protein
  10245_S_typhimurium_14028s-STM14_RS00745	X		120	5571	9710	9916	S_typhimurium_14028s	sulfatase-like hydrolase/transferase
  10246_S_typhimurium_14028s-STM14_RS00750	X	O	120	260	1594	1672	S_typhimurium_14028s	anaerobic sulfatase maturase
  10247_S_typhimurium_14028s-STM14_RS00755	X		120	6356	10495	10701	S_typhimurium_14028s	hypothetical protein
  10248_S_typhimurium_14028s-STM14_RS00760	X	OD	120	4019	7548	7754	S_typhimurium_14028s	aryl-sulfate sulfotransferase
  10249_S_typhimurium_14028s-STM14_RS00765	C	OSSSSS	2980	1021	2868	2980	s0	nhaA - Na+/H+ antiporter NhaA
  10250_S_typhimurium_14028s-STM14_RS00770	C	OSSSSS	4433	2253	4295	4433	s0	nhaR - transcriptional activator NhaR
  10251_S_typhimurium_14028s-STM14_RS00775	X	OS	7336	3903	7359	7565	s3	glycoside hydrolase family 31 protein
  10252_S_typhimurium_14028s-STM14_RS00780	X	OS	7336	3757	7130	7336	s3	MFS transporter
  10253_S_typhimurium_14028s-STM14_RS00785	C	OSSSSS	3108	1120	2992	3108	s0	rpsT - 30S ribosomal protein S20
  10254_S_typhimurium_14028s-STM14_RS00790	X	OSS	7099	3616	6895	7099	s3	YaaY family protein
