locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
STM14_RS00005	NA	6.426710473652156	0.6627221345533526	0.8378564405830227	FALSE	S_typhimurium_14028s	12838	WP_000477658.1	hypothetical protein	93	378	+
STM14_RS00010	NA	14.62968812802883	-1.3492227448652385	0.359325235940162	FALSE	S_typhimurium_14028s	12839	WP_001526822.1	hypothetical protein	429	546	+
STM14_RS00020	repA	521.2806802022646	0.20351600170066886	0.6391571700606629	FALSE	S_typhimurium_14028s	5895	WP_010999936.1	repA - replication regulatory protein RepA	1332	1599	+
STM14_RS00030	tap	2.7402118508870146	0.7853682720274132	0.9202198291653112	FALSE	S_typhimurium_14028s	12840	WP_001541552.1	tap - RepA leader peptide Tap	1848	1926	+
STM14_RS00035	repA	155.74327736947885	0.30285633759549363	0.6785869232917849	FALSE	S_typhimurium_14028s	5900	WP_001738692.1	repA - incFII family plasmid replication initiator RepA	1906	2788	+
STM14_RS00040	NA	28.41395085998236	-0.09298494513421154	0.9611446986286419	FALSE	S_typhimurium_14028s	9695	WP_000417898.1	AraC family transcriptional regulator	3965	4724	-
STM14_RS00045	rck	37.65959474741298	0.005291519630348317	0.9971799567147064	FALSE	S_typhimurium_14028s	1511	WP_000725062.1	rck - complement resistance protein Rck	4990	5548	-
STM14_RS00050	NA	2.078927748653594	1.0136047307119278	0.8879295769110993	FALSE	S_typhimurium_14028s	10394	WP_010999938.1	YjiK family protein	5637	6537	-
STM14_RS00055	NA	4.675318549116812	-0.6917033000524455	0.8602124880581078	FALSE	S_typhimurium_14028s	9858	WP_000178592.1	DsbA family protein	6669	7323	-
STM14_RS00060	NA	9.213061031305946	-1.391330132204416	0.3441011958284573	FALSE	S_typhimurium_14028s	12842	WP_001526811.1	helix-turn-helix transcriptional regulator	7567	7918	-
STM14_RS00065	pefI	6.810834606248283	-0.42857480554293953	0.8987747867971813	FALSE	S_typhimurium_14028s	12843	WP_000004313.1	pefI - transcriptional regulator PefI	7902	8115	-
STM14_RS00070	NA	435.2032604328983	0.10817820340115747	0.8781074460136808	FALSE	S_typhimurium_14028s	12844	WP_014343944.1	hypothetical protein	8546	9422	-
STM14_RS00075	NA	5.308197393983205	0.0038263744864894295	0.9999913732501955	FALSE	S_typhimurium_14028s	11105	WP_010999940.1	membrane protein	9674	10232	-
STM14_RS00085	pefC	2.784468338553882	0.5441272509534749	0.9369190945931878	FALSE	S_typhimurium_14028s	8209	WP_000007893.1	pefC - outer membrane usher protein PefC	10931	13340	-
STM14_RS00090	pefA	1.1581360669494982	-3.729258025389373	NA	NA	S_typhimurium_14028s	8180	WP_000748205.1	pefA - major pilin PefA	13567	14086	-
STM14_RS00110	NA	563.0171725741284	0.04168139583949235	0.9611446986286419	FALSE	S_typhimurium_14028s	6682	WP_001527061.1	RepB family plasmid replication initiator protein	16634	17624	-
STM14_RS00120	NA	143.47281861079392	0.3821836898158196	0.5668441605706556	FALSE	S_typhimurium_14028s	12846	WP_010999942.1	hypothetical protein	18897	19419	-
STM14_RS00125	ccdA	31.69349177302759	0.4741154361132926	0.7869493954591134	FALSE	S_typhimurium_14028s	7971	WP_000813641.1	ccdA - type II toxin-antitoxin system antitoxin CcdA	20094	20313	+
STM14_RS00130	ccdB	8.882140114508978	-0.6732072023361152	0.67945821805475215	FALSE	S_typhimurium_14028s	7973	WP_001159863.1	ccdB - type II toxin-antitoxin system toxin CcdB	20314	20620	+
