# Lines not beginning with # have the following format: Gene name <tab> family origin <tab> gene history string <tab> locusIsland <tab> initialFamily <tab> originFamily <tab> locusFamily <tab> locFamMRCA <tab> gene description.
########### Begin contig
  4688_K_pneumoniae_KPNIH1-KPNIH1_RS00005			2798	891	2688	2798	s0	mioC - FMN-binding protein MioC
  4689_K_pneumoniae_KPNIH1-KPNIH1_RS00010			2380	537	2280	2380	s0	asnC - transcriptional regulator AsnC
  4690_K_pneumoniae_KPNIH1-KPNIH1_RS00015			4185	2052	4048	4185	s0	asnA - aspartate--ammonia ligase
  4691_K_pneumoniae_KPNIH1-KPNIH1_RS00020			4184	2051	4047	4184	s0	viaA - ATPase RavA stimulator ViaA
  4692_K_pneumoniae_KPNIH1-KPNIH1_RS00025			4183	2050	4046	4183	s0	ravA - ATPase RavA
  4693_K_pneumoniae_KPNIH1-KPNIH1_RS00030			2134	386	2037	2134	s0	kup - low affinity potassium transporter Kup
  4694_K_pneumoniae_KPNIH1-KPNIH1_RS00035			4182	2049	4045	4182	s0	rbsD - D-ribose pyranase
  4695_K_pneumoniae_KPNIH1-KPNIH1_RS00040			244	21	238	244	s0	rbsA - ribose ABC transporter ATP-binding protein RbsA
  4696_K_pneumoniae_KPNIH1-KPNIH1_RS00045			518	52	500	518	s0	rbsC - ribose ABC transporter permease
  4697_K_pneumoniae_KPNIH1-KPNIH1_RS00050			948	108	910	948	s0	rbsB - ribose ABC transporter substrate-binding protein RbsB
  4698_K_pneumoniae_KPNIH1-KPNIH1_RS00055			1422	209	1358	1422	s0	rbsK - ribokinase
  4699_K_pneumoniae_KPNIH1-KPNIH1_RS00060			1059	126	1017	1059	s0	rbsR - ribose operon transcriptional repressor RbsR
  4700_K_pneumoniae_KPNIH1-KPNIH1_RS00065			1087	136	1041	1087	s0	mdtD - multidrug transporter subunit MdtD
  4701_K_pneumoniae_KPNIH1-KPNIH1_RS00070			2310	483	2210	2310	s0	FadR family transcriptional regulator
  4702_K_pneumoniae_KPNIH1-KPNIH1_RS00095			4181	2048	4044	4181	s0	mobB - molybdopterin-guanine dinucleotide biosynthesis protein MobB
  4703_K_pneumoniae_KPNIH1-KPNIH1_RS00100			4180	2047	4043	4180	s0	mobA - molybdenum cofactor guanylyltransferase MobA
  4704_K_pneumoniae_KPNIH1-KPNIH1_RS00105			4179	2046	4042	4179	s1	YihD family protein
  4705_K_pneumoniae_KPNIH1-KPNIH1_RS00110			4178	2045	4041	4178	s0	serine/threonine protein kinase
  4706_K_pneumoniae_KPNIH1-KPNIH1_RS00115			2025	350	1937	2025	s0	dsbA - thiol:disulfide interchange protein DsbA
  4707_K_pneumoniae_KPNIH1-KPNIH1_RS00120			4177	2044	4040	4177	s0	acyltransferase
  4708_K_pneumoniae_KPNIH1-KPNIH1_RS00125			4176	2043	4039	4176	s0	polA - DNA polymerase I
  4709_K_pneumoniae_KPNIH1-KPNIH1_RS00130			4175	2042	4038	4175	s0	yihA - ribosome biogenesis GTP-binding protein YihA/YsxC
  4710_K_pneumoniae_KPNIH1-KPNIH1_RS00135			4174	2041	4037	4174	s0	yihI - Der GTPase-activating protein YihI
  4711_K_pneumoniae_KPNIH1-KPNIH1_RS00140			2652	762	2546	2652	s0	hemN - oxygen-independent coproporphyrinogen III oxidase
  4712_K_pneumoniae_KPNIH1-KPNIH1_RS31295			11857	7512	11651	11857	K_pneumoniae_KPNIH1	YshB family small membrane protein
  4713_K_pneumoniae_KPNIH1-KPNIH1_RS00145			2576	701	2470	2576	s0	glnG - nitrogen regulation protein NR(I)
  4714_K_pneumoniae_KPNIH1-KPNIH1_RS00150			4483	2291	4344	4483	s0	glnL - nitrogen regulation protein NR(II)
  4715_K_pneumoniae_KPNIH1-KPNIH1_RS00155			2636	748	2530	2636	s0	glnA - glutamate--ammonia ligase
  4716_K_pneumoniae_KPNIH1-KPNIH1_RS00165			2794	887	2684	2794	s1	typA - ribosome-dependent GTPase TypA
  4717_K_pneumoniae_KPNIH1-KPNIH1_RS00170			4173	2040	4036	4173	s0	yihX - glucose-1-phosphatase
  4718_K_pneumoniae_KPNIH1-KPNIH1_RS00175			4172	2039	4035	4172	s0	virulence factor BrkB family protein
  4719_K_pneumoniae_KPNIH1-KPNIH1_RS00180			4171	2038	4034	4171	s0	dtd - D-tyrosyl-tRNA(Tyr) deacylase
  4720_K_pneumoniae_KPNIH1-KPNIH1_RS00185			4169	2037	4032	4169	s0	fabY - fatty acid biosynthesis protein FabY
  4721_K_pneumoniae_KPNIH1-KPNIH1_RS00190			5469	2821	5292	5469	s1	alpha/beta hydrolase
  4722_K_pneumoniae_KPNIH1-KPNIH1_RS00195			6624	3396	6427	6624	s1	ribbon-helix-helix domain-containing protein
  4723_K_pneumoniae_KPNIH1-KPNIH1_RS00200			8020	4178	7814	8020	s1	type II toxin-antitoxin system VapC family toxin
  4724_K_pneumoniae_KPNIH1-KPNIH1_RS00205			4214	2080	4077	4214	s0	fdhE - formate dehydrogenase accessory protein FdhE
  4725_K_pneumoniae_KPNIH1-KPNIH1_RS00210			2862	940	2752	2862	s0	fdoI - formate dehydrogenase cytochrome b556 subunit
  4726_K_pneumoniae_KPNIH1-KPNIH1_RS00215			1416	206	1353	1416	S_marcescens_Db11	fdxH - formate dehydrogenase subunit beta
  4727_K_pneumoniae_KPNIH1-KPNIH1_RS00220			1270	173	1218	1270	s0	fdnG - formate dehydrogenase-N subunit alpha
  4728_K_pneumoniae_KPNIH1-KPNIH1_RS00230			3670	1602	3541	3670	s1	fdhD - formate dehydrogenase accessory sulfurtransferase FdhD
  4729_K_pneumoniae_KPNIH1-KPNIH1_RS00235			2111	376	2015	2111	s1	DUF1471 domain-containing protein
  4730_K_pneumoniae_KPNIH1-KPNIH1_RS00240			10145	5800	9939	10145	K_pneumoniae_KPNIH1	6-phosphofructokinase
  4731_K_pneumoniae_KPNIH1-KPNIH1_RS00245			9745	5400	9539	9745	K_pneumoniae_KPNIH1	PTS sugar transporter subunit IIB
  4732_K_pneumoniae_KPNIH1-KPNIH1_RS00250			9773	5428	9567	9773	K_pneumoniae_KPNIH1	PTS sugar transporter subunit IIC
  4733_K_pneumoniae_KPNIH1-KPNIH1_RS00255			9585	5240	9379	9585	K_pneumoniae_KPNIH1	class II fructose-bisphosphate aldolase
  4734_K_pneumoniae_KPNIH1-KPNIH1_RS00260			11858	7513	11652	11858	K_pneumoniae_KPNIH1	hypothetical protein
  4735_K_pneumoniae_KPNIH1-KPNIH1_RS00265			9535	5190	9329	9535	K_pneumoniae_KPNIH1	PTS sugar transporter subunit IIA
  4736_K_pneumoniae_KPNIH1-KPNIH1_RS00270			11859	7514	11653	11859	K_pneumoniae_KPNIH1	ATPase AAA
  4737_K_pneumoniae_KPNIH1-KPNIH1_RS00275			5772	2955	5586	5772	s1	AzlD domain-containing protein
  4738_K_pneumoniae_KPNIH1-KPNIH1_RS00280			5468	2820	5291	5468	s1	AzlC family ABC transporter permease
  4739_K_pneumoniae_KPNIH1-KPNIH1_RS00285			4564	2332	4423	4564	s1	XRE family transcriptional regulator
  4740_K_pneumoniae_KPNIH1-KPNIH1_RS00290			9170	4840	8964	9170	s1	substrate-binding domain-containing protein
  4741_K_pneumoniae_KPNIH1-KPNIH1_RS00295			8440	4413	8234	8440	s1	alpha-galactosidase
  4742_K_pneumoniae_KPNIH1-KPNIH1_RS00300			1533	231	1466	1533	s1	MFS transporter
  4743_K_pneumoniae_KPNIH1-KPNIH1_RS00305			5037	2580	4876	5037	s1	rhaM - L-rhamnose mutarotase
  4744_K_pneumoniae_KPNIH1-KPNIH1_RS00310			1445	214	1381	1445	s1	fucO - lactaldehyde reductase
  4745_K_pneumoniae_KPNIH1-KPNIH1_RS00315			9255	4910	9049	9255	K_pneumoniae_KPNIH1	ABC transporter permease
  4746_K_pneumoniae_KPNIH1-KPNIH1_RS00320			9254	4909	9048	9254	K_pneumoniae_KPNIH1	ABC transporter permease
  4747_K_pneumoniae_KPNIH1-KPNIH1_RS00325			252	22	246	252	K_pneumoniae_KPNIH1	sugar ABC transporter ATP-binding protein
  4748_K_pneumoniae_KPNIH1-KPNIH1_RS00330			10407	6062	10201	10407	K_pneumoniae_KPNIH1	rhaS - rhamnose ABC transporter substrate-binding protein
  4749_K_pneumoniae_KPNIH1-KPNIH1_RS00335			5038	2581	4877	5038	s1	rhaD - rhamnulose-1-phosphate aldolase
  4750_K_pneumoniae_KPNIH1-KPNIH1_RS00340			5039	2582	4878	5039	s1	rhaA - L-rhamnose isomerase
  4751_K_pneumoniae_KPNIH1-KPNIH1_RS00345			4505	2304	4366	4505	s1	rhaB - rhamnulokinase
  4752_K_pneumoniae_KPNIH1-KPNIH1_RS00350			360	32	353	360	s1	rhaS - HTH-type transcriptional activator RhaS
  4753_K_pneumoniae_KPNIH1-KPNIH1_RS00355			360	32	353	360	s1	rhaR - HTH-type transcriptional activator RhaR
  4754_K_pneumoniae_KPNIH1-KPNIH1_RS00360			5040	2583	4879	5040	s1	rhaT - L-rhamnose/proton symporter RhaT
  4755_K_pneumoniae_KPNIH1-KPNIH1_RS00365			2750	850	2643	2750	s0	sodA - superoxide dismutase [Mn]
  4756_K_pneumoniae_KPNIH1-KPNIH1_RS00370			4212	2079	4075	4212	s0	yiiM - 6-N-hydroxylaminopurine resistance protein
  4757_K_pneumoniae_KPNIH1-KPNIH1_RS00375			2284	467	2184	2284	s0	cpxA - envelope stress sensor histidine kinase CpxA
  4758_K_pneumoniae_KPNIH1-KPNIH1_RS00380			484	48	467	484	s0	cpxR - envelope stress response regulator transcription factor CpxR
  4759_K_pneumoniae_KPNIH1-KPNIH1_RS00385			1193	163	1142	1193	s0	cpxP - cell-envelope stress modulator CpxP
  4760_K_pneumoniae_KPNIH1-KPNIH1_RS00390			2563	688	2457	2563	s0	fieF - CDF family cation-efflux transporter FieF
  4761_K_pneumoniae_KPNIH1-KPNIH1_RS00395			3068	1093	2952	3068	s0	pfkA - 6-phosphofructokinase
  4762_K_pneumoniae_KPNIH1-KPNIH1_RS00400			4143	2013	4007	4143	s0	rraA - ribonuclease E activity regulator RraA
  4763_K_pneumoniae_KPNIH1-KPNIH1_RS00405			4142	2012	4006	4142	s0	menA - 1,4-dihydroxy-2-naphthoate polyprenyltransferase
  4764_K_pneumoniae_KPNIH1-KPNIH1_RS00410			4141	2011	4005	4141	s0	hslU - HslU--HslV peptidase ATPase subunit
  4765_K_pneumoniae_KPNIH1-KPNIH1_RS00415			4140	2010	4004	4140	s0	hslV - ATP-dependent protease subunit HslV
  4766_K_pneumoniae_KPNIH1-KPNIH1_RS00420			5041	2584	4880	5041	s1	ftsN - cell division protein FtsN
  4767_K_pneumoniae_KPNIH1-KPNIH1_RS00425			2231	428	2131	2231	s0	cytR - DNA-binding transcriptional regulator CytR
  4768_K_pneumoniae_KPNIH1-KPNIH1_RS00435			4139	2009	4003	4139	s0	priA - primosomal protein N'
  4769_K_pneumoniae_KPNIH1-KPNIH1_RS00440			2840	922	2730	2840	s0	rpmE - 50S ribosomal protein L31
  4770_K_pneumoniae_KPNIH1-KPNIH1_RS00445			4138	2008	4002	4138	s0	metJ - met regulon transcriptional regulator MetJ
  4771_K_pneumoniae_KPNIH1-KPNIH1_RS00450			2561	686	2455	2561	s0	metB - cystathionine gamma-synthase
  4772_K_pneumoniae_KPNIH1-KPNIH1_RS00455			2526	652	2421	2526	s0	bifunctional aspartate kinase/homoserine dehydrogenase II
  4773_K_pneumoniae_KPNIH1-KPNIH1_RS00460			8028	4183	7822	8028	s1	hypothetical protein
  4774_K_pneumoniae_KPNIH1-KPNIH1_RS00465			6262	3213	6068	6262	s1	bifunctional metallophosphatase/5'-nucleotidase
  4775_K_pneumoniae_KPNIH1-KPNIH1_RS00470			10301	5956	10095	10301	K_pneumoniae_KPNIH1	carboxymuconolactone decarboxylase family protein
  4776_K_pneumoniae_KPNIH1-KPNIH1_RS00475			14487	10142	14281	14487	K_pneumoniae_KPNIH1	LysR family transcriptional regulator
  4777_K_pneumoniae_KPNIH1-KPNIH1_RS00480			4137	2007	4001	4137	s0	metF - methylenetetrahydrofolate reductase
  4778_K_pneumoniae_KPNIH1-KPNIH1_RS00485			8441	4414	8235	8441	s1	DMT family transporter
  4779_K_pneumoniae_KPNIH1-KPNIH1_RS00490			1905	317	1820	1905	s1	glycerol dehydrogenase
  4780_K_pneumoniae_KPNIH1-KPNIH1_RS00495			1625	248	1553	1625	s1	fsa - fructose-6-phosphate aldolase
  4781_K_pneumoniae_KPNIH1-KPNIH1_RS00500			5552	2858	5373	5552	s1	AraC family transcriptional regulator
  4782_K_pneumoniae_KPNIH1-KPNIH1_RS00505			3615	1555	3487	3615	K_pneumoniae_KPNIH1	zinT - metal-binding protein ZinT
  4783_K_pneumoniae_KPNIH1-KPNIH1_RS00510			4136	2006	4000	4136	s0	ppc - phosphoenolpyruvate carboxylase
  4784_K_pneumoniae_KPNIH1-KPNIH1_RS00515			2571	696	2465	2571	s0	argE - acetylornithine deacetylase
  4785_K_pneumoniae_KPNIH1-KPNIH1_RS00520			4135	2005	3999	4135	s0	argC - N-acetyl-gamma-glutamyl-phosphate reductase
  4786_K_pneumoniae_KPNIH1-KPNIH1_RS00525			4134	2004	3998	4134	s0	argB - acetylglutamate kinase
  4787_K_pneumoniae_KPNIH1-KPNIH1_RS00530			2973	1015	2861	2973	s0	argH - argininosuccinate lyase
  4788_K_pneumoniae_KPNIH1-KPNIH1_RS00535			4446	2264	4307	4446	s0	oxyR - DNA-binding transcriptional regulator OxyR
  4789_K_pneumoniae_KPNIH1-KPNIH1_RS00540			2385	541	2285	2385	s0	sthA - Si-specific NAD(P)(+) transhydrogenase
  4790_K_pneumoniae_KPNIH1-KPNIH1_RS00545			4131	2002	3995	4131	s0	fabR - HTH-type transcriptional repressor FabR
