locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
KPNIH1_RS03815	thrA	28.870394684101324	-1.0119648484772923	0.14584325534843817	FALSE	K_pneumoniae_KPNIH1	2524	WP_002887848.1	thrA - bifunctional aspartate kinase/homoserine dehydrogenase I	752596	755059	+
KPNIH1_RS03820	thrB	16.623979120957532	-0.4830322960211579	0.6412808829903692	FALSE	K_pneumoniae_KPNIH1	3104	WP_002887853.1	thrB - homoserine kinase	755060	755990	+
KPNIH1_RS03825	thrC	39.74643690021717	-0.7105973358546587	0.24500684217471141	FALSE	K_pneumoniae_KPNIH1	3105	WP_002887863.1	thrC - threonine synthase	755993	757274	+
KPNIH1_RS03835	yaaA	402.74582202266	1.6120520544659578	2.7507745820809307e-10	TRUE	K_pneumoniae_KPNIH1	3106	WP_002887869.1	yaaA - peroxide stress protein YaaA	758035	758809	-
KPNIH1_RS03840	NA	80.50044145037431	0.35289962881504056	0.4986017667096921	FALSE	K_pneumoniae_KPNIH1	2076	WP_002887871.1	sodium:alanine symporter family protein	758886	760317	-
KPNIH1_RS03845	tal	2342.052571849547	1.3110995973139428	3.2146401521342257e-9	TRUE	K_pneumoniae_KPNIH1	976	WP_002887897.1	tal - transaldolase	760519	761473	+
KPNIH1_RS03850	mog	183.0755508122594	0.34184062423688316	0.40391946709457216	FALSE	K_pneumoniae_KPNIH1	2658	WP_002887898.1	mog - molybdopterin adenylyltransferase	761572	762160	+
KPNIH1_RS03860	satP	31.457141347747058	-2.6503594811047515	7.341093980497346e-6	TRUE	K_pneumoniae_KPNIH1	3107	WP_002887905.1	satP - acetate uptake transporter	763646	764213	-
KPNIH1_RS03865	msyB	1.571132125016719	0.25573378841066097	NA	NA	K_pneumoniae_KPNIH1	6940	WP_002887906.1	msyB - acidic protein MsyB	764301	765027	-
KPNIH1_RS03870	NA	1.9796712060780604	1.3067826662616275	NA	NA	K_pneumoniae_KPNIH1	6941	WP_002887909.1	DUF2541 family protein	765054	765459	-
