locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
ECL_RS03940	thrA	98.23536781219316	-1.7990432462708124	5.417897100297371e-7	TRUE	E_cloacae_ATCC13047	2524	WP_013095509.1	thrA - bifunctional aspartate kinase/homoserine dehydrogenase I	804654	807117	+
ECL_RS03945	thrB	30.725877461410363	-1.4934182078928027	0.034707455842530495	FALSE	E_cloacae_ATCC13047	3104	WP_013095510.1	thrB - homoserine kinase	807118	808048	+
ECL_RS03950	thrC	65.54946792251727	-1.3406324617704177	0.003959358104509274	TRUE	E_cloacae_ATCC13047	3105	WP_013095511.1	thrC - threonine synthase	808051	809338	+
ECL_RS03960	yaaA	198.40872519206624	0.12187176500836468	0.755388644100902	FALSE	E_cloacae_ATCC13047	3106	WP_013095513.1	yaaA - peroxide stress protein YaaA	809907	810681	-
ECL_RS03965	NA	260.75237853581075	0.03412910260799987	0.9203891910875783	FALSE	E_cloacae_ATCC13047	2076	WP_013095514.1	sodium:alanine symporter family protein	810747	812178	-
ECL_RS03970	tal	2004.8342013581894	0.1685822792149303	0.5210218922763684	FALSE	E_cloacae_ATCC13047	976	WP_013095515.1	tal - transaldolase	812440	813394	+
ECL_RS03975	mog	124.67385361210903	-0.9492331010754561	6.886308045441817e-4	FALSE	E_cloacae_ATCC13047	2658	WP_013095516.1	mog - molybdopterin adenylyltransferase	813504	814092	+
ECL_RS03985	satP	269.147663150196	-2.5135153990271935	5.927056947185522e-23	TRUE	E_cloacae_ATCC13047	3107	WP_013095518.1	satP - acetate uptake transporter	815513	816080	-
ECL_RS03990	dnaK	768.630639069558	0.016073892230223975	0.975772227564478	FALSE	E_cloacae_ATCC13047	2390	WP_013095521.1	dnaK - molecular chaperone DnaK	816377	818291	+
ECL_RS03995	dnaJ	125.23479501025761	-0.8006555006293438	0.02643424450479062	FALSE	E_cloacae_ATCC13047	2835	WP_008502040.1	dnaJ - molecular chaperone DnaJ	818378	819524	+
ECL_RS04000	nhaA	98.27046073647774	-0.8049250506398259	0.04938061008957357	FALSE	E_cloacae_ATCC13047	2980	WP_013095522.1	nhaA - Na+/H+ antiporter NhaA	819697	820873	+
ECL_RS04005	nhaR	202.44958846651392	-0.505690902454327	0.07897325778939802	FALSE	E_cloacae_ATCC13047	4433	WP_013095523.1	nhaR - transcriptional activator NhaR	820929	821829	+
