locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
STM14_RS00005	NA	9.772095296596325	-1.3930952029330599	0.17380200156366013	FALSE	S_typhimurium_14028s	12838	WP_000477658.1	hypothetical protein	93	378	+
STM14_RS00010	NA	23.683262443458933	-0.08087593730688084	0.908550148471994	FALSE	S_typhimurium_14028s	12839	WP_001526822.1	hypothetical protein	429	546	+
STM14_RS00020	repA	666.6432453400304	-0.5821997539767843	0.03519510734747328	FALSE	S_typhimurium_14028s	5895	WP_010999936.1	repA - replication regulatory protein RepA	1332	1599	+
STM14_RS00030	tap	2.5700707343288665	-0.3842839667357768	0.8771791966047684	FALSE	S_typhimurium_14028s	12840	WP_001541552.1	tap - RepA leader peptide Tap	1848	1926	+
STM14_RS00035	repA	271.6197961031154	-1.3484887445493956	1.874910429228819e-5	TRUE	S_typhimurium_14028s	5900	WP_001738692.1	repA - incFII family plasmid replication initiator RepA	1906	2788	+
STM14_RS00040	NA	50.79455271423001	-1.0784643801099059	0.007306372535532717	TRUE	S_typhimurium_14028s	9695	WP_000417898.1	AraC family transcriptional regulator	3965	4724	-
STM14_RS00045	rck	66.70698640539716	-1.1467548611903897	0.03867898871568081	FALSE	S_typhimurium_14028s	1511	WP_000725062.1	rck - complement resistance protein Rck	4990	5548	-
STM14_RS00050	NA	6.571357467126226	-2.8752368313628787	0.018569457782327336	FALSE	S_typhimurium_14028s	10394	WP_010999938.1	YjiK family protein	5637	6537	-
STM14_RS00055	NA	6.262174346656115	0.015010783113836051	0.9925769840963111	FALSE	S_typhimurium_14028s	9858	WP_000178592.1	DsbA family protein	6669	7323	-
STM14_RS00060	NA	21.069345132246916	-0.8910713610840205	0.24874455124894335	FALSE	S_typhimurium_14028s	12842	WP_001526811.1	helix-turn-helix transcriptional regulator	7567	7918	-
STM14_RS00065	pefI	19.2313276406798	-1.737573520420696	0.010020063150523473	FALSE	S_typhimurium_14028s	12843	WP_000004313.1	pefI - transcriptional regulator PefI	7902	8115	-
STM14_RS00070	NA	857.0144720599782	-1.4427829391336897	1.4437228871518753e-10	TRUE	S_typhimurium_14028s	12844	WP_014343944.1	hypothetical protein	8546	9422	-
STM14_RS00075	NA	15.31509774385244	-1.977889684316925	0.0026574064186714215	TRUE	S_typhimurium_14028s	11105	WP_010999940.1	membrane protein	9674	10232	-
STM14_RS00080	pefD	2.7965435109571644	-1.556459257938273	0.45423222354938847	FALSE	S_typhimurium_14028s	8206	WP_001038510.1	pefD - fimbrial chaperone PefD	10246	10939	-
STM14_RS00085	pefC	6.745918795585139	-2.116485335556019	0.20955997413936545	FALSE	S_typhimurium_14028s	8209	WP_000007893.1	pefC - outer membrane usher protein PefC	10931	13340	-
STM14_RS00090	pefA	20.452041575883637	-3.760446597765356	4.690841688868659e-9	TRUE	S_typhimurium_14028s	8180	WP_000748205.1	pefA - major pilin PefA	13567	14086	-
STM14_RS00095	pefB	1.0405448266535453	-1.6928425692449691	NA	NA	S_typhimurium_14028s	11107	WP_000979451.1	pefB - transcriptional regulator PefB	14360	14663	-
STM14_RS00110	NA	741.8990758575062	-0.5162546573186185	0.0058189720809541864	FALSE	S_typhimurium_14028s	6682	WP_001527061.1	RepB family plasmid replication initiator protein	16634	17624	-
STM14_RS00120	NA	134.68933601839367	0.045309851174443624	0.914757583164778	FALSE	S_typhimurium_14028s	12846	WP_010999942.1	hypothetical protein	18897	19419	-
STM14_RS00125	ccdA	21.567387472390042	1.0342591796297622	0.18058523503497312	FALSE	S_typhimurium_14028s	7971	WP_000813641.1	ccdA - type II toxin-antitoxin system antitoxin CcdA	20094	20313	+
STM14_RS00130	ccdB	10.111176249423602	0.5329206444392421	0.5137118721116104	FALSE	S_typhimurium_14028s	7973	WP_001159863.1	ccdB - type II toxin-antitoxin system toxin CcdB	20314	20620	+
STM14_RS00135	NA	7.332123035772865	-1.4085550932662882	0.2852542001703988	FALSE	S_typhimurium_14028s	8919	WP_001266176.1	hypothetical protein	20621	20912	+
STM14_RS00140	NA	11.79678606860684	-0.07403117574084936	0.9358478596121304	FALSE	S_typhimurium_14028s	12847	WP_000198608.1	hypothetical protein	20908	21430	+
STM14_RS00145	NA	14.46841706972607	-0.4590892569854226	0.6050463673966162	FALSE	S_typhimurium_14028s	4521	WP_000082169.1	site-specific integrase	21464	22247	+
STM14_RS00150	NA	23.53998315048826	0.036126426561637684	0.9629877305815386	FALSE	S_typhimurium_14028s	9454	WP_000545754.1	EAL domain-containing protein	22255	22807	+
STM14_RS00155	NA	6.116733586509318	-0.23511796996974874	0.8838201570148737	FALSE	S_typhimurium_14028s	10827	WP_001075507.1	CaiF/GrlA family transcriptional regulator	22993	23482	+
STM14_RS00160	NA	2.8142280170526686	-0.22766010473877377	0.908550148471994	FALSE	S_typhimurium_14028s	12848	WP_000905606.1	membrane protein	23475	23961	+
STM14_RS00170	NA	1.2296985221005667	-0.2559347419687277	NA	NA	S_typhimurium_14028s	12850	WP_000900095.1	inverse autotransporter beta domain-containing protein	24680	25241	+
STM14_RS00175	NA	504.16484818167686	-0.4712513662654405	0.14549975641258525	FALSE	S_typhimurium_14028s	12851	WP_001541541.1	helix-turn-helix domain-containing protein	25307	25658	-
STM14_RS00185	spvD	2.3180467902243755	1.717362562653383	0.39431923810899805	FALSE	S_typhimurium_14028s	12852	WP_001575489.1	spvD - SPI-2 type III secretion system effector cysteine hydrolase SpvD	26265	26916	-
STM14_RS00190	spvC	2.2269769095729672	1.1217268143712087	0.7267688502870684	FALSE	S_typhimurium_14028s	12853	WP_001122242.1	spvC - type III secretion system effector phosphothreonine lyase SpvC	27176	27902	-
STM14_RS00195	spvB	10.816923799805929	-0.4434183746829224	0.7467067364989591	FALSE	S_typhimurium_14028s	12854	WP_001676648.1	spvB - SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	28182	29958	-
STM14_RS00200	spvA	3.158559465396681	1.9605540605078107	0.33364811865852395	FALSE	S_typhimurium_14028s	12856	WP_001526990.1	spvA - virulence protein SpvA	30139	30907	-
STM14_RS00205	NA	2.0618343869175995	-1.2846529271004572	0.5160926741773257	FALSE	S_typhimurium_14028s	12857	WP_001576629.1	glycoside hydrolase family protein	31080	31245	-
STM14_RS00210	spvR	3.4431335090012003	-2.912582447887745	0.0675324154854975	FALSE	S_typhimurium_14028s	12858	WP_000346691.1	spvR - virulence genes transcriptional activator SpvR	31418	32312	-
STM14_RS00215	NA	20.882594847095334	-0.5365405619791619	0.35491207465178803	FALSE	S_typhimurium_14028s	12859	WP_001121399.1	IS630 family transposase	32920	33958	+
STM14_RS00220	NA	61.59814936460128	-1.4657232662935495	3.471652068411231e-6	TRUE	S_typhimurium_14028s	12860	WP_001576625.1	ExeA family protein	34146	35172	-
STM14_RS00225	NA	72.9714938694334	-1.728804429849625	4.384982100298257e-9	TRUE	S_typhimurium_14028s	12861	WP_000098783.1	IS481 family transposase	35104	36769	-
STM14_RS00230	NA	152.77659448286065	-0.41718260807327023	0.1208218738835903	FALSE	S_typhimurium_14028s	9625	WP_001240331.1	recombinase family protein	36752	37313	-
STM14_RS00235	NA	579.6577855196946	-0.28291622709769454	0.27253772427397727	FALSE	S_typhimurium_14028s	9794	WP_001541566.1	carbonic anhydrase	37519	38260	-
STM14_RS00240	NA	156.44423250387135	2.0017938252794636	5.1047995055530486e-9	TRUE	S_typhimurium_14028s	12862	WP_001135407.1	hypothetical protein	38914	39403	-
STM14_RS00245	NA	35.48251743935059	1.116242659571764	0.05868759619205285	FALSE	S_typhimurium_14028s	12863	WP_001247118.1	DNA-binding protein	39661	40777	+
STM14_RS00250	NA	4.823052238155032	1.2979625540370217	0.43190614164583213	FALSE	S_typhimurium_14028s	12864	WP_001541564.1	hypothetical protein	40862	41279	+
STM14_RS00255	NA	24.278316462501003	0.7048181767121378	0.24701375247968552	FALSE	S_typhimurium_14028s	12865	WP_000988946.1	hypothetical protein	41381	41798	+
STM14_RS00265	NA	1210.6636770018424	-0.2744896448036068	0.24807252627768542	FALSE	S_typhimurium_14028s	265	WP_000728917.1	Rpn family recombination-promoting nuclease/putative transposase	42452	43394	-
STM14_RS00270	NA	263.3910511914051	0.7045399209782757	0.044435837238276175	FALSE	S_typhimurium_14028s	7926	WP_000427676.1	AAA family ATPase	43808	45014	+
STM14_RS00275	NA	432.7392456061175	0.4969682219674261	0.166680978597543	FALSE	S_typhimurium_14028s	11046	WP_000064274.1	ParB/RepB/Spo0J family partition protein	45013	45988	+
STM14_RS00280	NA	20.54098384476162	0.1397217277641214	0.8771791966047684	FALSE	S_typhimurium_14028s	1306	WP_000457541.1	Y-family DNA polymerase	46069	47344	-
STM14_RS00285	umuD	21.749345927501547	-0.18914773729794904	0.8229702275139416	FALSE	S_typhimurium_14028s	1095	WP_000925627.1	umuD - translesion error-prone DNA polymerase V autoproteolytic subunit	47343	47766	-
STM14_RS00320	NA	3.3113466488721124	-2.9851677982364606	0.21188515699630442	FALSE	S_typhimurium_14028s	8734	WP_001246548.1	membrane protein	50919	51684	+
STM14_RS00330	NA	1.5508462546922832	-1.7711709499336907	0.49878983584709224	FALSE	S_typhimurium_14028s	12868	WP_000274533.1	DUF1380 family protein	52680	53115	+
