locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
b0002	thrA	215.6499321128318	-0.5676280115908368	0.21857505335285002	FALSE	E_coli_K12	2524	NP_414543.1	thrA - fused aspartate kinase/homoserine dehydrogenase 1	336	2799	+
b0003	thrB	81.6836001092468	-0.12922120815832625	0.8189349242601611	FALSE	E_coli_K12	3104	NP_414544.1	thrB - homoserine kinase	2800	3733	+
b0004	thrC	298.3478158245225	0.20274541865515533	0.6295805624699378	FALSE	E_coli_K12	3105	NP_414545.1	thrC - threonine synthase	3733	5020	+
b0006	yaaA	130.3597474576414	-0.45153824511646784	0.1440646746400605	FALSE	E_coli_K12	3106	NP_414547.1	yaaA - peroxide stress resistance protein YaaA	5682	6459	-
b0007	yaaJ	58.57207155177645	0.42959326632921374	0.2920109191619547	FALSE	E_coli_K12	2076	NP_414548.1	yaaJ - putative transporter YaaJ	6528	7959	-
b0008	talB	3583.874350170926	0.4466200004307369	0.08132222365959481	FALSE	E_coli_K12	976	NP_414549.1	talB - transaldolase B	8237	9191	+
b0009	mog	401.2510397798081	-0.6632489923475428	0.00788733238961706	FALSE	E_coli_K12	2658	NP_414550.1	mog - molybdopterin adenylyltransferase	9305	9893	+
b0010	satP	82.46939316562414	-0.7927587429996146	0.017495127952181666	FALSE	E_coli_K12	3107	NP_414551.1	satP - acetate/succinate:H(+) symporter	9927	10494	-
b0011	yaaW	15.054270621389964	-0.28685488898481715	0.7672179011582879	FALSE	E_coli_K12	6940	NP_414552.1	yaaW - putative enzyme-specific chaperone YaaW	10642	11356	-
b0013	yaaI	3.7901908560028854	-1.3298312283581726	0.2912496060619869	FALSE	E_coli_K12	6941	NP_414554.1	yaaI - DUF2541 domain-containing protein YaaI	11381	11786	-
b0014	dnaK	2935.395971327167	0.2725744190799483	0.5706435664791272	FALSE	E_coli_K12	2390	NP_414555.1	dnaK - chaperone protein DnaK	12162	14079	+
b0015	dnaJ	482.6824503963476	-0.19537986448377329	0.6731933247367056	FALSE	E_coli_K12	2835	NP_414556.1	dnaJ - chaperone protein DnaJ	14167	15298	+
b0019	nhaA	715.4332247073203	0.2528175220203353	0.2802873347616912	FALSE	E_coli_K12	2980	NP_414560.1	nhaA - Na(+):H(+) antiporter NhaA	17488	18655	+
b0020	nhaR	268.7929907173535	0.28677235269921836	0.35211780077349214	FALSE	E_coli_K12	4433	NP_414561.1	nhaR - DNA-binding transcriptional activator NhaR	18714	19620	+
b0023	rpsT	13543.191688484123	-1.6601765930275016	1.3045837244609201e-5	TRUE	E_coli_K12	3108	NP_414564.1	rpsT - 30S ribosomal subunit protein S20	20814	21078	-
b0024	yaaY	4.60348456489846	0.8783924512704511	0.5275938574383355	FALSE	E_coli_K12	7099	NP_414565.1	yaaY - DUF2575 domain-containing protein YaaY	21180	21399	+
b0025	ribF	387.79926951118284	-0.1852943643592181	0.38721681649785655	FALSE	E_coli_K12	3109	NP_414566.1	ribF - bifunctional riboflavin kinase/FMN adenylyltransferase	21406	22348	+
b0026	ileS	900.3606595409935	-0.276345756045861	0.32391705367475915	FALSE	E_coli_K12	2527	NP_414567.1	ileS - isoleucine--tRNA ligase	22390	25207	+
b0027	lspA	318.27265113225053	-0.1467640177915642	0.730380847608565	FALSE	E_coli_K12	2981	NP_414568.1	lspA - lipoprotein signal peptidase	25206	25701	+
b0028	fkpB	126.25054073453273	-0.2701912042398137	0.49420661080920697	FALSE	E_coli_K12	2660	NP_414569.1	fkpB - peptidyl-prolyl cis-trans isomerase FkpB	25825	26275	+
b0029	ispH	222.98424813594949	-0.1676687931581242	0.6468711381751043	FALSE	E_coli_K12	3110	NP_414570.1	ispH - 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	26276	27227	+
b0030	rihC	61.45679345771529	-1.3975584197015585	5.114700717972389e-4	TRUE	E_coli_K12	1518	NP_414571.1	rihC - ribonucleoside hydrolase RihC	27292	28207	+
b0031	dapB	549.4053802432478	0.9493439232220124	4.909252283485595e-4	FALSE	E_coli_K12	3111	NP_414572.1	dapB - 4-hydroxy-tetrahydrodipicolinate reductase	28373	29195	+
b0032	carA	63.092211307338474	-2.130249367978133	3.3235956540156287e-7	TRUE	E_coli_K12	3112	NP_414573.1	carA - carbamoyl phosphate synthetase subunit alpha	29650	30799	+
b0033	carB	43.733123279194565	-1.1201498883922292	0.013422308854475179	FALSE	E_coli_K12	3113	NP_414574.1	carB - carbamoyl phosphate synthetase subunit beta	30816	34038	+
b0034	caiF	115.58665483151795	2.4566898541882267	3.136202042439489e-15	TRUE	E_coli_K12	7100	NP_414576.4	caiF - DNA-binding transcriptional activator CaiF	34299	34695	+
b0035	caiE	48.80103121498493	0.3048331811186741	0.7179865258446865	FALSE	E_coli_K12	2256	NP_414577.2	caiE - putative transferase CaiE	34780	35371	-
b0036	caiD	2.1640155907942757	-0.7421602569140283	NA	NA	E_coli_K12	6208	NP_414578.2	caiD - crotonobetainyl-CoA hydratase	35376	36162	-
b0037	caiC	23.643869718445305	0.1261158269352452	0.8642482897456119	FALSE	E_coli_K12	6089	NP_414579.4	caiC - carnitine--CoA ligase	36270	37824	-
b0038	caiB	15.060488019004122	-0.20957755790903151	0.7827257337654313	FALSE	E_coli_K12	6550	NP_414580.1	caiB - gamma-butyrobetainyl-CoA:carnitine CoA transferase	37897	39115	-
b0039	caiA	39.02885794521609	-1.34420005158656	0.014878778462053679	FALSE	E_coli_K12	4665	NP_414581.1	caiA - crotonobetainyl-CoA reductase	39243	40386	-
b0040	caiT	8.645607306668337	-0.333129943465363	0.7520528285704882	FALSE	E_coli_K12	6296	NP_414582.1	caiT - L-carnitine:gamma-butyrobetaine antiporter	40416	41931	-
b0041	fixA	3.610944996389568	-2.9370515331579123	0.03293125759159739	FALSE	E_coli_K12	4900	NP_414583.2	fixA - putative electron transfer flavoprotein FixA	42402	43173	+
b0043	fixC	4.3361613397173775	1.6963389813051057	0.3698697832439135	FALSE	E_coli_K12	3086	NP_414585.1	fixC - putative oxidoreductase FixC	44179	45466	+
b0045	yaaU	5.91703920628359	-1.2484276963880145	0.22002432458085755	FALSE	E_coli_K12	6765	NP_414587.1	yaaU - putative transporter YaaU	45806	47138	+
b0046	kefF	29.15157935687967	1.5937332551657917	0.004684107824609579	TRUE	E_coli_K12	694	NP_414588.1	kefF - regulator of KefC-mediated potassium transport and quinone oxidoreductase	47245	47776	+
b0047	kefC	53.05406230851049	0.9967158283612554	0.016296149360286855	FALSE	E_coli_K12	1117	NP_414589.1	kefC - K(+) : H(+) antiporter KefC	47768	49631	+
b0048	folA	293.02172446887994	-0.6007504193770526	0.17798544048499298	FALSE	E_coli_K12	2982	NP_414590.1	folA - dihydrofolate reductase	49822	50302	+
b0049	apaH	110.18619481596352	-0.6630534258650657	0.011604904486484914	FALSE	E_coli_K12	2662	NP_414591.1	apaH - diadenosine tetraphosphatase	50379	51222	-
b0050	apaG	211.38987196331223	-0.6741914581737509	0.01275249547581283	FALSE	E_coli_K12	3116	NP_414592.1	apaG - DUF525 domain-containing protein ApaG	51228	51606	-
b0051	rsmA	263.1704525120192	-0.2762066848924099	0.36258483660168217	FALSE	E_coli_K12	3117	NP_414593.1	rsmA - 16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase	51608	52430	-
b0052	pdxA	200.38660668421176	-0.7953119301795247	0.011855488859596138	FALSE	E_coli_K12	2666	NP_414594.1	pdxA - 4-hydroxythreonine-4-phosphate dehydrogenase	52426	53416	-
b0053	surA	767.5336847243384	-0.5606028053440251	0.018205700476790935	FALSE	E_coli_K12	3118	NP_414595.1	surA - chaperone SurA	53415	54702	-
b0054	lptD	1521.504309325137	-0.16521424799866408	0.4945219566578963	FALSE	E_coli_K12	3119	NP_414596.1	lptD - lipopolysaccharide assembly protein LptD	54754	57109	-
b0055	djlA	273.83359835944685	-0.7071567866684705	0.016994988311928347	FALSE	E_coli_K12	3120	NP_414597.1	djlA - co-chaperone protein DjlA	57363	58179	+
b0058	rluA	391.2147563916512	-1.8342819718296377	4.138223032468002e-15	TRUE	E_coli_K12	2394	NP_414600.1	rluA - 23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase	59686	60346	-
b0059	rapA	572.165889355128	-1.2163723418235917	2.9153387135661677e-5	TRUE	E_coli_K12	3121	NP_414601.1	rapA - RNA polymerase-binding ATPase and RNAP recycling factor	60357	63264	-
b0060	polB	123.53180376887772	-0.6363492760711428	0.19144875457587257	FALSE	E_coli_K12	3122	NP_414602.1	polB - DNA polymerase II	63428	65780	-
b0064	araC	25.189247997231536	0.12533204201405002	0.8611318346939575	FALSE	E_coli_K12	5197	NP_414606.1	araC - DNA-binding transcriptional dual regulator AraC	70386	71265	+
b0065	yabI	181.49310854264644	-0.6039165728123329	0.11099310254397746	FALSE	E_coli_K12	2345	NP_414607.1	yabI - DedA family protein YabI	71350	72115	+
b0066	thiQ	34.23379107445026	-1.5201370430295762	0.0033125304216204457	TRUE	E_coli_K12	4406	NP_414608.1	thiQ - thiamine ABC transporter ATP binding subunit	72228	72927	-
b0067	thiP	51.72825480283455	-1.4405753846045422	4.002279731155626e-5	TRUE	E_coli_K12	3126	NP_414609.1	thiP - thiamine ABC transporter membrane subunit	72910	74521	-
b0068	thiB	31.971166960755557	-0.09343757391202136	0.9004158655860249	FALSE	E_coli_K12	2322	NP_414610.1	thiB - thiamine ABC transporter periplasmic binding protein	74496	75480	-
b0069	sgrR	45.439688031119	0.3146363692386056	0.4676686564948074	FALSE	E_coli_K12	2597	NP_414611.1	sgrR - DNA-binding transcriptional dual regulator SgrR	75643	77299	-
b0071	leuD	112.62811884973212	0.6562252709084841	0.026234951919478854	FALSE	E_coli_K12	2927	NP_414613.1	leuD - 3-isopropylmalate dehydratase subunit LeuD	78847	79453	-
b0072	leuC	21.70621721703682	1.9612750551871811	0.0013081446882143655	TRUE	E_coli_K12	2426	NP_414614.1	leuC - 3-isopropylmalate dehydratase subunit LeuC	79463	80864	-
b0073	leuB	19.588436302898494	2.538012961976146	0.005629517566945959	TRUE	E_coli_K12	2503	NP_414615.4	leuB - 3-isopropylmalate dehydrogenase	80866	81958	-
b0074	leuA	32.59925375061577	1.3371427269108993	0.009394927424489257	TRUE	E_coli_K12	2887	NP_414616.1	leuA - 2-isopropylmalate synthase	81957	83529	-
b0076	leuO	27.33916135683482	1.1897404851933338	0.026758224032215207	FALSE	E_coli_K12	4435	NP_414618.4	leuO - DNA-binding transcriptional dual regulator LeuO	84367	85312	+
b0077	ilvI	87.26099945191892	2.089186816746649	1.0946205700452476e-6	TRUE	E_coli_K12	444	YP_025294.2	ilvI - acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit	85629	87354	+
b0078	ilvH	36.883774404713755	3.1035429289141048	4.7134708735079325e-11	TRUE	E_coli_K12	3127	NP_414620.1	ilvH - acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit	87356	87848	+
b0080	cra	565.4239005173631	0.021302346974382394	0.9422801688551401	FALSE	E_coli_K12	4464	NP_414622.1	cra - DNA-binding transcriptional dual regulator Cra	88027	89032	+
b0081	mraZ	662.6023003186571	-0.8091469970542504	4.7379876236561867e-5	FALSE	E_coli_K12	3130	NP_414623.1	mraZ - DNA-binding transcriptional repressor MraZ	89633	90092	+
b0082	rsmH	206.21029372488044	-0.6084444970536664	0.016635444058325215	FALSE	E_coli_K12	3131	NP_414624.1	rsmH - 16S rRNA m(4)C1402 methyltransferase	90093	91035	+
b0083	ftsL	48.28569683655981	-0.2320196113568831	0.7186409320836864	FALSE	E_coli_K12	3132	NP_414625.1	ftsL - cell division protein FtsL	91031	91397	+
b0084	ftsI	616.934756952897	0.21279794611542543	0.6385488322738471	FALSE	E_coli_K12	1297	NP_414626.1	ftsI - peptidoglycan DD-transpeptidase FtsI	91412	93179	+
b0085	murE	208.1812119938965	-0.8444400279370032	0.010694250993836042	FALSE	E_coli_K12	3133	NP_414627.1	murE - UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	93165	94653	+
b0086	murF	189.31026175909622	-0.9678200887163192	0.001466767206799675	FALSE	E_coli_K12	3134	NP_414628.1	murF - D-alanyl-D-alanine-adding enzyme	94649	96008	+
b0087	mraY	182.33652975393775	-1.1270224462260439	1.7128274322965676e-5	TRUE	E_coli_K12	3135	NP_414629.1	mraY - phospho-N-acetylmuramoyl-pentapeptide- transferase	96001	97084	+
b0088	murD	272.09091190605255	-1.5621821625467016	1.7365422722986096e-12	TRUE	E_coli_K12	3136	NP_414630.1	murD - UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	97086	98403	+
b0089	ftsW	306.5432015497246	-1.2380258491263294	6.439395272798358e-11	TRUE	E_coli_K12	2667	NP_414631.1	ftsW - essential cell division protein FtsW	98402	99647	+
b0090	murG	315.29851587555925	-1.2966724157675162	1.3349221415403736e-10	TRUE	E_coli_K12	3137	NP_414632.1	murG - N-acetylglucosaminyl transferase	99643	100711	+
b0091	murC	314.5715997046486	-1.1919662056481686	1.9371303227626707e-8	TRUE	E_coli_K12	2669	NP_414633.1	murC - UDP-N-acetylmuramate--L-alanine ligase	100764	102240	+
b0092	ddlB	310.5739895992778	-0.3867522344382591	0.09769474734901121	FALSE	E_coli_K12	2671	NP_414634.1	ddlB - D-alanine--D-alanine ligase B	102232	103153	+
b0093	ftsQ	233.29478378889416	-0.43570125668136195	0.2259105136187469	FALSE	E_coli_K12	3138	NP_414635.1	ftsQ - cell division protein FtsQ	103154	103985	+
b0094	ftsA	713.5806293650014	-0.28345729096979944	0.22780315638868104	FALSE	E_coli_K12	3139	NP_414636.1	ftsA - cell division protein FtsA	103981	105244	+
b0095	ftsZ	1009.5232867205882	0.22231369675426593	0.3277565529354157	FALSE	E_coli_K12	3140	NP_414637.1	ftsZ - cell division protein FtsZ	105304	106456	+
b0096	lpxC	4904.785883610882	-1.1660962421620378	1.8839077529566046e-10	TRUE	E_coli_K12	3141	NP_414638.1	lpxC - UDP-3-O-acyl-N-acetylglucosamine deacetylase	106556	107474	+
b0097	secM	543.1734445667965	-0.9788507117829166	2.1570734311921095e-7	FALSE	E_coli_K12	3142	NP_414639.2	secM - SecA translation regulator	107704	108217	+
b0098	secA	2774.008146782125	-0.3949609671256996	0.03485349756919307	FALSE	E_coli_K12	3143	NP_414640.1	secA - protein translocation ATPase	108278	110984	+
b0099	mutT	170.01677952487324	-0.2969022391953209	0.4064912489121783	FALSE	E_coli_K12	2411	NP_414641.1	mutT - 8-oxo-dGTP diphosphatase	111043	111433	+
b0101	yacG	65.834905729005	-0.7328532288905636	0.06838774097793715	FALSE	E_coli_K12	3144	NP_414643.1	yacG - DNA gyrase inhibitor YacG	111648	111846	-
b0102	zapD	65.47356441544305	-0.9705868101839278	0.004226351875686733	FALSE	E_coli_K12	3145	NP_414644.1	zapD - cell division factor ZapD	111855	112599	-
b0103	coaE	71.02862781095787	-0.6324792661154117	0.08833908187406624	FALSE	E_coli_K12	3146	NP_414645.1	coaE - dephospho-CoA kinase	112598	113219	-
b0104	guaC	980.5989012732871	1.2175909867567676	5.845631740252909e-6	TRUE	E_coli_K12	3147	NP_414646.1	guaC - GMP reductase	113443	114487	+
b0106	hofC	37.71216952937487	-0.43006291553490444	0.4185948862070128	FALSE	E_coli_K12	2866	NP_414648.1	hofC - inner membrane protein HofC	114521	115724	-
