locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
SMDB11_RS00005	thrA	25.980161751570616	0.25135877617064634	0.8110758014986541	FALSE	S_marcescens_Db11	2524	WP_025301514.1	thrA - bifunctional aspartate kinase/homoserine dehydrogenase I	342	2802	+
SMDB11_RS00010	thrB	11.602442036349146	-1.0478017063003466	0.2702365931798617	FALSE	S_marcescens_Db11	3104	WP_025301515.1	thrB - homoserine kinase	2803	3733	+
SMDB11_RS00015	thrC	21.478501196295916	-1.1003254270997957	0.16143328930380216	FALSE	S_marcescens_Db11	3105	WP_025301516.1	thrC - threonine synthase	3736	5026	+
SMDB11_RS00020	yaaA	50.764314219322216	0.736942939621289	0.2216619980253467	FALSE	S_marcescens_Db11	3106	WP_025301517.1	yaaA - peroxide stress protein YaaA	5072	5849	-
SMDB11_RS00025	NA	115.88927933958884	5.82327759899456e-4	0.9994231649730329	FALSE	S_marcescens_Db11	2076	WP_025301518.1	sodium:alanine symporter family protein	5955	7392	-
SMDB11_RS00030	tal	693.6830565597368	0.5515314581873537	0.025773862970784857	FALSE	S_marcescens_Db11	976	WP_004932982.1	tal - transaldolase	7775	8729	+
SMDB11_RS00035	mog	30.543328706978702	0.8302766614611518	0.1784712546409847	FALSE	S_marcescens_Db11	2658	WP_015376607.1	mog - molybdopterin adenylyltransferase	8880	9468	+
SMDB11_RS00045	satP	9.511297916929205	-1.0495220806604346	0.32190631180555185	FALSE	S_marcescens_Db11	3107	WP_025301520.1	satP - acetate uptake transporter	10944	11544	-
SMDB11_RS00050	dnaK	144.09034591876437	0.08352456802056732	0.8579192737348394	FALSE	S_marcescens_Db11	2390	WP_004932972.1	dnaK - molecular chaperone DnaK	11868	13782	+
SMDB11_RS00055	dnaJ	58.04131589500482	-0.15229676439566447	0.8334160867272712	FALSE	S_marcescens_Db11	2835	WP_004932969.1	dnaJ - molecular chaperone DnaJ	13888	15013	+
SMDB11_RS00060	nhaA	76.17057516821205	-1.7711260144544956	4.119062467702536e-7	TRUE	S_marcescens_Db11	2980	WP_025301521.1	nhaA - Na+/H+ antiporter NhaA	15248	16415	+
SMDB11_RS00065	nhaR	106.60053937708729	-1.0270121558506093	0.0034033019387283464	TRUE	S_marcescens_Db11	4433	WP_004932962.1	nhaR - transcriptional activator NhaR	16607	17507	+
SMDB11_RS00070	rpsT	8199.252863171538	-0.23332746205202978	0.4312383765236937	FALSE	S_marcescens_Db11	3108	WP_004932960.1	rpsT - 30S ribosomal protein S20	17578	17842	-
SMDB11_RS00075	ribF	182.8425459942577	0.2854854335011487	0.4135677230390738	FALSE	S_marcescens_Db11	3109	WP_025301522.1	ribF - bifunctional riboflavin kinase/FAD synthetase	18232	19171	+
SMDB11_RS00080	ileS	302.05615147917314	0.02030850724391919	0.9639134345709545	FALSE	S_marcescens_Db11	2527	WP_025301523.1	ileS - isoleucine--tRNA ligase	19203	22020	+
SMDB11_RS00085	lspA	30.877279829708677	-0.4678836166895114	0.54500495993831	FALSE	S_marcescens_Db11	2981	WP_025301524.1	lspA - signal peptidase II	22033	22543	+
