locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
STM14_RS00005	NA	10.689636353587034	-0.4298050615191147	0.6395528117597616	FALSE	S_typhimurium_14028s	12838	WP_000477658.1	hypothetical protein	93	378	+
STM14_RS00010	NA	17.67713203931391	-1.3746414977653787	0.09422953279110965	FALSE	S_typhimurium_14028s	12839	WP_001526822.1	hypothetical protein	429	546	+
STM14_RS00020	repA	689.4953101210203	-0.05958445521553534	0.7934598071483266	FALSE	S_typhimurium_14028s	5895	WP_010999936.1	repA - replication regulatory protein RepA	1332	1599	+
STM14_RS00030	tap	3.0928577389197547	1.0868939766584524	0.6177711781985301	FALSE	S_typhimurium_14028s	12840	WP_001541552.1	tap - RepA leader peptide Tap	1848	1926	+
STM14_RS00035	repA	338.44239248000304	-1.1741341370659422	1.0276388040317098e-6	TRUE	S_typhimurium_14028s	5900	WP_001738692.1	repA - incFII family plasmid replication initiator RepA	1906	2788	+
STM14_RS00040	NA	60.849981490976255	-1.3689762565686845	3.869693507345588e-4	TRUE	S_typhimurium_14028s	9695	WP_000417898.1	AraC family transcriptional regulator	3965	4724	-
STM14_RS00045	rck	58.4646325688725	-0.6677478888497731	0.08238856835522164	FALSE	S_typhimurium_14028s	1511	WP_000725062.1	rck - complement resistance protein Rck	4990	5548	-
STM14_RS00050	NA	3.9853316996686194	-0.4681958855102489	0.7946956056946699	FALSE	S_typhimurium_14028s	10394	WP_010999938.1	YjiK family protein	5637	6537	-
STM14_RS00055	NA	6.956068026880457	-1.151998123866908	0.2739515414708167	FALSE	S_typhimurium_14028s	9858	WP_000178592.1	DsbA family protein	6669	7323	-
STM14_RS00060	NA	20.834402411060992	-2.538279251250165	2.8776264566793734e-6	TRUE	S_typhimurium_14028s	12842	WP_001526811.1	helix-turn-helix transcriptional regulator	7567	7918	-
STM14_RS00065	pefI	21.231007766269386	-2.296083722561784	6.5815521474363575e-6	TRUE	S_typhimurium_14028s	12843	WP_000004313.1	pefI - transcriptional regulator PefI	7902	8115	-
STM14_RS00070	NA	864.7044957772002	-1.116048682011685	1.180935533637025e-12	TRUE	S_typhimurium_14028s	12844	WP_014343944.1	hypothetical protein	8546	9422	-
STM14_RS00075	NA	9.80340178876769	-0.9686869280261874	0.3388693555671616	FALSE	S_typhimurium_14028s	11105	WP_010999940.1	membrane protein	9674	10232	-
STM14_RS00080	pefD	2.6576555411283325	-3.8208857746147964	0.044170543180380994	FALSE	S_typhimurium_14028s	8206	WP_001038510.1	pefD - fimbrial chaperone PefD	10246	10939	-
STM14_RS00085	pefC	7.70129361865043	-1.4629051765096222	0.10092874658553909	FALSE	S_typhimurium_14028s	8209	WP_000007893.1	pefC - outer membrane usher protein PefC	10931	13340	-
STM14_RS00090	pefA	23.890480683257238	-7.799498714514193	2.509215887756511e-11	TRUE	S_typhimurium_14028s	8180	WP_000748205.1	pefA - major pilin PefA	13567	14086	-
STM14_RS00110	NA	775.772171862374	-0.31352009677180037	0.15562992466013179	FALSE	S_typhimurium_14028s	6682	WP_001527061.1	RepB family plasmid replication initiator protein	16634	17624	-
STM14_RS00120	NA	167.00283546378176	0.5308723265629846	0.048188443856963775	FALSE	S_typhimurium_14028s	12846	WP_010999942.1	hypothetical protein	18897	19419	-
STM14_RS00125	ccdA	31.30485893573625	1.3046019265976827	0.013207229581876225	FALSE	S_typhimurium_14028s	7971	WP_000813641.1	ccdA - type II toxin-antitoxin system antitoxin CcdA	20094	20313	+
STM14_RS00130	ccdB	9.122166469856356	-0.2271417541930963	0.8281505081248888	FALSE	S_typhimurium_14028s	7973	WP_001159863.1	ccdB - type II toxin-antitoxin system toxin CcdB	20314	20620	+
STM14_RS00135	NA	4.07708176440619	0.6276498925900587	0.7219565001949029	FALSE	S_typhimurium_14028s	8919	WP_001266176.1	hypothetical protein	20621	20912	+
STM14_RS00140	NA	15.146686144881146	1.2141912934716528	0.06171681349030605	FALSE	S_typhimurium_14028s	12847	WP_000198608.1	hypothetical protein	20908	21430	+
STM14_RS00145	NA	16.83649915718375	0.04624765337289573	0.9574481310511291	FALSE	S_typhimurium_14028s	4521	WP_000082169.1	site-specific integrase	21464	22247	+
STM14_RS00150	NA	30.3832013924007	0.2582286278558562	0.6321776331468032	FALSE	S_typhimurium_14028s	9454	WP_000545754.1	EAL domain-containing protein	22255	22807	+
STM14_RS00155	NA	5.845852235427947	-0.26777227360929073	0.8461530797616571	FALSE	S_typhimurium_14028s	10827	WP_001075507.1	CaiF/GrlA family transcriptional regulator	22993	23482	+
STM14_RS00160	NA	1.8163801920819291	-1.3263508537775879	0.5032943066225575	FALSE	S_typhimurium_14028s	12848	WP_000905606.1	membrane protein	23475	23961	+
STM14_RS00175	NA	695.4083712072392	-0.45135337298384753	0.11619093776395623	FALSE	S_typhimurium_14028s	12851	WP_001541541.1	helix-turn-helix domain-containing protein	25307	25658	-
STM14_RS00185	spvD	2.55400077312809	-4.559821771873723	0.006538914251687121	TRUE	S_typhimurium_14028s	12852	WP_001575489.1	spvD - SPI-2 type III secretion system effector cysteine hydrolase SpvD	26265	26916	-
STM14_RS00190	spvC	2.9048848928102755	-1.2936665862413708	0.49675458337808565	FALSE	S_typhimurium_14028s	12853	WP_001122242.1	spvC - type III secretion system effector phosphothreonine lyase SpvC	27176	27902	-
STM14_RS00195	spvB	10.492100621276336	-1.4989427436538554	0.05840508538847782	FALSE	S_typhimurium_14028s	12854	WP_001676648.1	spvB - SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	28182	29958	-
STM14_RS00200	spvA	2.275363595871654	-0.20725333617266675	0.95171984458897	FALSE	S_typhimurium_14028s	12856	WP_001526990.1	spvA - virulence protein SpvA	30139	30907	-
STM14_RS00205	NA	1.7509030612328766	-1.9838531115902356	0.45868914737283906	FALSE	S_typhimurium_14028s	12857	WP_001576629.1	glycoside hydrolase family protein	31080	31245	-
STM14_RS00210	spvR	2.5252381058677025	-0.7602513791595964	0.723913815332608	FALSE	S_typhimurium_14028s	12858	WP_000346691.1	spvR - virulence genes transcriptional activator SpvR	31418	32312	-
STM14_RS00215	NA	25.285160680959144	0.3777916939480264	0.5089311231429522	FALSE	S_typhimurium_14028s	12859	WP_001121399.1	IS630 family transposase	32920	33958	+
STM14_RS00220	NA	87.63967329192221	-1.649255112217434	7.321221032170156e-5	TRUE	S_typhimurium_14028s	12860	WP_001576625.1	ExeA family protein	34146	35172	-
STM14_RS00225	NA	103.15475463817332	-1.6798925266837244	9.400149703420364e-8	TRUE	S_typhimurium_14028s	12861	WP_000098783.1	IS481 family transposase	35104	36769	-
STM14_RS00230	NA	173.65568633200078	-0.8882171229048088	1.491864363798736e-4	FALSE	S_typhimurium_14028s	9625	WP_001240331.1	recombinase family protein	36752	37313	-
STM14_RS00235	NA	904.426629601989	-0.3262474074570069	0.238656860383736	FALSE	S_typhimurium_14028s	9794	WP_001541566.1	carbonic anhydrase	37519	38260	-
STM14_RS00240	NA	104.52213831480485	0.8798502627221496	0.007833067054696097	FALSE	S_typhimurium_14028s	12862	WP_001135407.1	hypothetical protein	38914	39403	-
STM14_RS00245	NA	26.583105998133306	1.2360003572079228	0.09295930856897798	FALSE	S_typhimurium_14028s	12863	WP_001247118.1	DNA-binding protein	39661	40777	+
STM14_RS00250	NA	4.271754661094498	0.3199161652988545	0.8803843797713721	FALSE	S_typhimurium_14028s	12864	WP_001541564.1	hypothetical protein	40862	41279	+
STM14_RS00255	NA	27.90122372848638	0.49434009507751503	0.5202514643326318	FALSE	S_typhimurium_14028s	12865	WP_000988946.1	hypothetical protein	41381	41798	+
STM14_RS00265	NA	1547.633063536893	0.05146370555382529	0.8564888197855719	FALSE	S_typhimurium_14028s	265	WP_000728917.1	Rpn family recombination-promoting nuclease/putative transposase	42452	43394	-
STM14_RS00270	NA	333.48641500780406	1.068922954754685	7.70408249499237e-4	TRUE	S_typhimurium_14028s	7926	WP_000427676.1	AAA family ATPase	43808	45014	+
STM14_RS00275	NA	539.5776187831475	1.094782340821062	1.651965299729272e-5	TRUE	S_typhimurium_14028s	11046	WP_000064274.1	ParB/RepB/Spo0J family partition protein	45013	45988	+
STM14_RS00280	NA	18.9427560763056	-0.2683698538362822	0.7014454982529317	FALSE	S_typhimurium_14028s	1306	WP_000457541.1	Y-family DNA polymerase	46069	47344	-
STM14_RS00285	umuD	21.305797174124326	0.33862118587010076	0.6093220233235538	FALSE	S_typhimurium_14028s	1095	WP_000925627.1	umuD - translesion error-prone DNA polymerase V autoproteolytic subunit	47343	47766	-
STM14_RS00320	NA	1.1255002662172846	-1.1455248263010664	NA	NA	S_typhimurium_14028s	8734	WP_001246548.1	membrane protein	50919	51684	+
STM14_RS00325	NA	1.8282248147032911	-1.1233846357355177	0.6911120777841199	FALSE	S_typhimurium_14028s	5463	WP_001200150.1	antirestriction protein	52179	52614	+
