locus_tag	gene	baseMean	log2FoldChange	padj	significant	species	locus_family	WP_num	gene_description	start	stop	strand
ROD_RS00015	thrA	76.73207845888042	0.10152720885721425	0.8315457041248102	FALSE	C_rodentium_ICC168	2524	WP_012904386.1	thrA - bifunctional aspartate kinase/homoserine dehydrogenase I	312	2775	+
ROD_RS00020	thrB	17.751733219743503	-1.2006660588676423	0.18515434832112707	FALSE	C_rodentium_ICC168	3104	WP_012904387.1	thrB - homoserine kinase	2777	3707	+
ROD_RS00025	thrC	40.76759808401484	-0.004444549735304114	0.9938879744966324	FALSE	C_rodentium_ICC168	3105	WP_012904388.1	thrC - threonine synthase	3710	4997	+
ROD_RS00030	yaaA	128.68029378408977	0.5348595698841622	0.0594261777138882	FALSE	C_rodentium_ICC168	3106	WP_012904389.1	yaaA - peroxide stress protein YaaA	5146	5920	-
ROD_RS00035	NA	51.026875458243	-0.08809070514592261	0.8725055538980164	FALSE	C_rodentium_ICC168	2076	WP_012904390.1	sodium:alanine symporter family protein	5989	7420	-
ROD_RS00040	tal	1013.1235329919491	0.04830747822454754	0.8973150549848965	FALSE	C_rodentium_ICC168	976	WP_012904391.1	tal - transaldolase	7690	8644	+
ROD_RS00045	mog	90.16995246803754	-0.03332955172854609	0.9391264754076243	FALSE	C_rodentium_ICC168	2658	WP_012904392.1	mog - molybdopterin adenylyltransferase	8757	9345	+
ROD_RS00055	satP	122.03714450241992	-1.5136009753324053	1.0341257028349105e-6	TRUE	C_rodentium_ICC168	3107	WP_012904394.1	satP - acetate uptake transporter	10808	11375	-
ROD_RS00060	dnaK	1126.129581898674	1.5248541230546604	1.0563773712119849e-7	TRUE	C_rodentium_ICC168	2390	WP_012904395.1	dnaK - molecular chaperone DnaK	11730	13647	+
ROD_RS00065	dnaJ	164.39666994095734	0.39964353258452934	0.3123547191007407	FALSE	C_rodentium_ICC168	2835	WP_012904396.1	dnaJ - molecular chaperone DnaJ	13733	14864	+
ROD_RS00070	NA	7.900161485047504	0.8698590137301909	0.5032609361533616	FALSE	C_rodentium_ICC168	8195	WP_012904397.1	LysR family transcriptional regulator	15179	16112	+
ROD_RS00075	NA	65.24704731184515	1.503590478301635	1.9474384624023332e-5	TRUE	C_rodentium_ICC168	8792	WP_012904398.1	phage holin family protein	16227	16578	+
ROD_RS00080	NA	24.42229303151336	-0.18323475545762843	0.7964085691952634	FALSE	C_rodentium_ICC168	5919	WP_012904399.1	glycoside hydrolase family 108 protein	16661	17195	-
ROD_RS00090	NA	55.848500773131626	0.03229789596264694	0.964986334065864	FALSE	C_rodentium_ICC168	7561	WP_012904401.1	glycosyl hydrolase family 18 protein	18026	20102	+
ROD_RS00095	nhaA	251.61816692157907	-0.3651228374318987	0.11483487813311162	FALSE	C_rodentium_ICC168	2980	WP_012904402.1	nhaA - Na+/H+ antiporter NhaA	20702	21869	+
ROD_RS00100	nhaR	324.63587039013606	-0.7489378283965872	1.5069326047802964e-4	FALSE	C_rodentium_ICC168	4433	WP_012904403.1	nhaR - transcriptional activator NhaR	21928	22825	+
ROD_RS00105	NA	25.05970333646628	0.2606970126648676	0.7270040289764541	FALSE	C_rodentium_ICC168	7565	WP_012904404.1	glycoside hydrolase family 31 protein	22859	24899	-
ROD_RS00110	NA	9.86880775962797	-0.7442557130007723	0.43480762693332387	FALSE	C_rodentium_ICC168	7336	WP_012904405.1	MFS transporter	24937	26311	-
ROD_RS00115	rpsT	10301.864681438365	0.15880836386723554	0.6442934571587733	FALSE	C_rodentium_ICC168	3108	WP_002887965.1	rpsT - 30S ribosomal protein S20	26741	27005	-
ROD_RS28860	NA	8.716869130339745	-0.7619848845128404	0.5908429229682909	FALSE	C_rodentium_ICC168	7099	WP_012904407.1	DUF2575 family protein	27110	27326	+
ROD_RS00125	ribF	174.0691330874486	-0.4171833722354096	0.1599837345142706	FALSE	C_rodentium_ICC168	3109	WP_012904408.1	ribF - bifunctional riboflavin kinase/FAD synthetase	27333	28272	+
ROD_RS00130	ileS	718.549227777663	-0.4945030870137776	0.037056875133444155	FALSE	C_rodentium_ICC168	2527	WP_012904409.1	ileS - isoleucine--tRNA ligase	28309	31126	+
ROD_RS00135	lspA	167.65731237645983	-0.15491007612961838	0.667104932899096	FALSE	C_rodentium_ICC168	2981	WP_012904410.1	lspA - signal peptidase II	31125	31623	+
ROD_RS00140	fkpB	92.72800214232247	-0.15352967787713542	0.7270040289764541	FALSE	C_rodentium_ICC168	2660	WP_012904411.1	fkpB - FKBP-type peptidyl-prolyl cis-trans isomerase	32132	32582	+
ROD_RS00145	ispH	301.7857790843039	-0.002529887480771954	0.9938879744966324	FALSE	C_rodentium_ICC168	3110	WP_012904412.1	ispH - 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	32583	33534	+
ROD_RS00185	dapB	111.82919232394944	-1.6299974164932747	1.340028003108142e-7	TRUE	C_rodentium_ICC168	3111	WP_012904420.1	dapB - 4-hydroxy-tetrahydrodipicolinate reductase	40251	41073	+
ROD_RS00190	carA	148.17974344897198	0.09519094204876417	0.820496235870298	FALSE	C_rodentium_ICC168	3112	WP_012904421.1	carA - glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	41526	42675	+
ROD_RS00195	carB	173.45164699368175	0.3150931634756452	0.3353771300330247	FALSE	C_rodentium_ICC168	3113	WP_012904422.1	carB - carbamoyl-phosphate synthase large subunit	42693	45918	+
ROD_RS00200	caiF	1.730893038413243	-0.21527988860202366	NA	NA	C_rodentium_ICC168	7100	WP_012904423.1	caiF - carnitine metabolism transcriptional regulator CaiF	46164	46554	+
ROD_RS00205	caiD	1.6781022723839416	1.7951899572809946	NA	NA	C_rodentium_ICC168	6208	WP_012904424.1	caiD - crotonobetainyl-CoA hydratase	46780	47566	-
ROD_RS00210	caiC	7.281438519185973	-0.4738335508343269	0.7100607025207193	FALSE	C_rodentium_ICC168	6089	WP_012904425.1	caiC - crotonobetaine/carnitine-CoA ligase	47618	49172	-
ROD_RS00215	caiB	1.3909906721495051	-0.26770563445284845	NA	NA	C_rodentium_ICC168	6550	WP_012904426.1	caiB - L-carnitine CoA-transferase	49228	50446	-
ROD_RS00220	caiA	3.505595197340572	-1.7851941587252986	0.3360157153340655	FALSE	C_rodentium_ICC168	4665	WP_012904427.1	caiA - crotonobetainyl-CoA dehydrogenase	50549	51692	-
ROD_RS00225	caiT	10.311111559486097	0.9234170003444822	0.28172865809683567	FALSE	C_rodentium_ICC168	6296	WP_012904428.1	caiT - L-carnitine/gamma-butyrobetaine antiport BCCT transporter	51725	53243	-
ROD_RS00235	NA	3.6808978173852784	0.6545316265694343	0.7886514008303882	FALSE	C_rodentium_ICC168	4900	WP_012904430.1	electron transfer flavoprotein FixA	53699	54473	+
ROD_RS00240	NA	9.009678879722447	-1.5519663116336697	0.14757757085532433	FALSE	C_rodentium_ICC168	4822	WP_012904431.1	electron transfer flavoprotein subunit alpha/FixB family protein	54484	55426	+
ROD_RS00245	NA	6.481914840070942	0.7255052654434785	0.5479681341384963	FALSE	C_rodentium_ICC168	3086	WP_012904432.1	FAD-dependent oxidoreductase	55447	56734	+
ROD_RS00250	fixX	3.399605195461887	-0.43977425911842793	0.8422118340583715	FALSE	C_rodentium_ICC168	4902	WP_012904433.1	fixX - ferredoxin-like protein FixX	56730	57018	+
ROD_RS00260	NA	69.16162443387388	-0.5989638666746391	0.12662133722902835	FALSE	C_rodentium_ICC168	6765	WP_012904435.1	MFS transporter	58419	59751	+
ROD_RS00265	NA	1896.4195660687285	7.373309396484088	2.863221217591447e-34	TRUE	C_rodentium_ICC168	191	WP_012904436.1	YgdI/YgdR family lipoprotein	59855	60089	+
ROD_RS00275	kefF	34.20352605609424	0.885354508062307	0.09531067325101474	FALSE	C_rodentium_ICC168	694	WP_012904438.1	kefF - glutathione-regulated potassium-efflux system oxidoreductase KefF	63394	63925	+
ROD_RS00280	kefC	65.136670612101355	0.029867989467827684	0.95522052503602894	FALSE	C_rodentium_ICC168	1117	WP_012904439.1	kefC - glutathione-regulated potassium-efflux system protein KefC	63917	65792	+
ROD_RS00285	folA	213.32399772813565	0.589078602186571	0.01671093908128536	FALSE	C_rodentium_ICC168	2982	WP_012904441.1	folA - type 3 dihydrofolate reductase	65976	66456	+
ROD_RS00290	apaH	213.79349053260236	-2.389981756852118	4.460788998556789e-22	TRUE	C_rodentium_ICC168	2662	WP_012904442.1	apaH - bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH	66500	67349	-
ROD_RS00295	apaG	89.0995363953987	-1.7271724483055428	1.848349968611595e-7	TRUE	C_rodentium_ICC168	3116	WP_012904443.1	apaG - Co2+/Mg2+ efflux protein ApaG	67359	67737	-
